Aa-ge
Ac-ke
A-dol-fus
A-dol-phus
Ag-nar
A-kim
Ak-sel
Al-be-rick
Al-berte
Al-bin
Al-fred
Alf-si-gr
Al-got
A-loy-si-us
Al-va
Al-var
Al-vis
Am-brose
Am-bro-si-us
A-mund
An-ders
An-dor
An-dre-as
An-dri
An-ker
An-nar
Ans-frid
Ans-gar
Ans-helm
An-ton
A-ric
Arn-bjorn
Ar-ne
Ar-ni
A-ron
Ar-ram
Ar-ved
Ar-vid
Ar-wed
Ar-wid
As-bjorn
As-ger
As-kil
Au-dr
Au-dun
Au-gust
Ax-el
As-mund
Bal-der
Bal-dr
Bal-dur
Balt-sar
Balt-ser
Bar-do
Bar-the-le-my
Ba-si-li-us
Bas-le
Ben-dik
Bendt
Bengt
Bent
Bernt
Bert
Ber-til
Big-ge
Bir-ger
Bir-re
Bjar-ne
Bjar-ni
Bjar-te
Bjoern
Bjorn
Bjorne
Bjor-nar
Bo
Bode
Boje
Bos-se
Borje
Borge
Bor-re
Bra-ga
Bra-ge
Bra-gi
Bran-dt
Bre-de
Bruin
Bru-no
Cai
Caj
Ca-nute
Carl
Cas-per
Chris-ter
Chris-ti-an
Chris-tof-fer
Claus
Cle-mens
Cnut
Dag
Dag-finn
Da-na
Da-niel
Da-vid
Dayne
Det-lof
Dolf
Dolph
Do-nalt
Eb-be
Ed-vard
Ed-vin
E-gen
Eg-gert
E-gil
Ei-lert
Ei-lif
Ei-liv
Ei-nar
Ein-dride
Ei-rik
Ei-ri-kur
Ei-stein
Ei-vind
Ej-nar
E-li-as
E-li-hu
E-lis
Ell-mar
El-mar
El-mer
E-lof
E-luf
E-ma-nu-el
E-mil
En-dre
E-nok
E-ric
E-rik
Er-land
Er-lend
Ernst
Es-ben
Es-bern
Es-bjorn
Es-burn
Es-kel
Es-kil
Es-pen
Es-ten
Ev-en
Ev-in
Ev-ind
Ey-olf
Ey-stein
Ey-steinn
Ey-vind
Fe-lix
Fen-ris
Fi-lip
Fisk
Fiske
Flem-ming
Fol-ki
Folk-var
Frans
Frants
Fran-zen
Fray
Fre-de-rik
Fre-drik
Frej
Frey
Fri-dt-jof
Fri-ti-of
Fri-tjof
Fritz
Frode
Garth
Ge-ir
Ge-org
Ger-hard
Ger-hart
Gil-lis
Go-ran
Go-sta
Gries
Gu-nar
Gun-de
Gun-der
Gun-nar
Gus
Gu-staf
Gu-stav
Gyl-fi
Haa-kon
Ha-dri-an
Ha-gen
Ha-kan
Ha-ko
Ha-kon
Hal-dor
Half-dan
Hall-dor
Hall-geir
Halv-dan
Ham-pus
Hans
Han-sel
Ha-rald
Has-se
Haz-ze
Ha-kon
Har-lief
Ha-vard
Heim-dall
Hel-ge
Hel-mer
Hen-drik
Hen-ning
Hen-rick
Hen-rik
Her-leif
Her-lof
Her-luf
Her-mann
Her-mod
Hin-rik
Hjal-mar
Ho-der
Ho-dur
Hoe-nir
Hol-ger
Ho-nir
Hu-go
Hum-frid
Ib
In-gar
In-ge
In-ge-mar
Ing-mar
Ing-var
Ing-varr
I-sak
I-var
I-ver
I-vor
Ja-cob
Ja-kob
Jan
Jan-ne
Jan-nick
Jan-nik
Jan-nis
Jan-son
Jans-sen
Ja-rel
Jarl
Jarle
Jens
Jen-sen
Jep-pe
Je-re-mi-a
Jerk
Jer-ker
Jes-per
Joa-kim
Joer-gen
Jo-han
Jo-han-nes
Jon
Jo-nah
Jo-nam
Jo-nas
Jo-na-tan
Jorck
Jo-ren
Jor-gen
Jorn
Jor-re
Jo-sef
Jo-se-fa
Jost
Jo-stein
Jo-su-a
Jo-hann
Jo-han-nes
Jon
Jons
Jor-gen
Jos-se
Jor-gen
Ju-pi-ter
Kai
Kaj
Kal-le
Ka-nute
Karl
Ka-si-mir
Keld
Ken-net
Kent
Ket-til
Kim
Ki-ma
Kjeld
Kjell
Kje-til
Klaus
Kle-mens
Kle-menz
Knud
Knut
Knute
Kon-rad
Kon-stan-tin
Ko-nur
Kres-ten
Kris
Krist
Kri-sta
Kri-sten
Kri-ster
Kris-ti-an
Krist-jan
Kri-stof
Kri-sto-fer
Kri-stoff
Kri-stof-fer
Kri-sto-for
Lars
Larse
Las-se
Lauge
Lau-rans
Lau-rens
Lau-rids
Lau-ris
Lau-rits
Lau-ritz
Leif
Leiv
Lel-le
Len-nard
Len-nart
Len-ne
Lief
Lif
Lof-fe
Lo-rens
Lo-renz
Love
Lu-cas
Lu-dol-ph
Lud-vig
Lu-kas
Lund
Mack
Mads
Mag-nar
Mag-nus
Mal-te
Mal-the
Mans
Mar-cus
Ma-ri-nus
Ma-ri-us
Mark
Mar-kus
Mars
Mar-ten
Mar-tin
Ma-thi-as
Ma-thies
Ma-this
Mats
Mat-te-us
Mat-the-us
Mat-ti-as
Mau-rits
Max
Mans
Mar-ten
Mel-ker
Mer-kur
Mi-ckel
Mi-hal-je
Mi-kael
Mik-kel
Mo-gens
Mor-ten
Nan-ne
Nar-ve
Na-ta-nael
Nels
Nel-sen
Nen-ne
Nep-tun
Nep-tu-nus
Ni-cho-lai
Nic-klas
Ni-clas
Ni-co-lai
Niels
Nik-las
Nils
Nils-son
Nis-se
Njal
Noak
Odd
O-din
O-do
O-la
O-laf
O-la-fur
O-lan-der
O-lav
O-lave
O-lay
O-le
Ol-le
O-lof
O-lov
Ol-sen
O-luf
Os-car
Os-kar
Ot-to
O-ve
Oy-stein
Oy-vind
Pal
Pall
Par
Pa-trik
Pau-lo
Pal
Pa-vel
Pe-der
Pel-le
Per
Pe-ter
Pet-ter
Plu-to
Pol
Pon-tus
Poul
Pre-ben
Rag-nar
Ra-gn-vald
Ralf
Ran-dulf
Rang-vald
Ras-mus
Reg-ner
Rei-dar
Reine
Rein-hold
Ric-kard
Ri-kard
Roald
Roar
Ro-bert
Rof-fe
Rolf
Rolfe
Rol-le
Rolph
Ru-ben
Ru-dolf
Rune
Ru-rik
Rut-ger
Ry-ker
Sa-ka-ri-as
Sa-kar-ja
Sa-ke-ri
Sa-lo-mo
Sa-lo-mon
San-der
Sa-turn
Se-bas-ti-an
Se-ve-rin
Sig-frid
Sig-ge
Si-gurd
Sig-vard
Si-men
Sim-son
Sin-dre
Sin-dri
Si-urt
Si-vert
Six-ten
Sjurd
Soe-ren
Son-dre
So-ren
Staf-fan
Steen
Ste-fan
Ste-fen
Stef-fen
Stein
Steit
Sten
Sti-an
Stig
Strom
Sture
Svan-te
Svein
Sven
Svend
Sver-re
Swain
Swen
Te-o-dor
The-o
The-o-dor
Thi-as-si
Tho-bi-as
Tho-mas
Thor
Tho-ralf
Thor-ben
Thor-bjorn
Thor-bjorn
Thore
Thor-leif
Tho-rold
Thor-stein
Thor-steinn
Thor-sten
Thor-vald
Thor-wald
Ti-mo-te-us
To-bi-as
