Abban
Adhamh
Aengus
Aidan
Ailbhe
Ailill
Ailin
Aindreas
Aindriu
Alaois
Alastar
Alby
Amhlaoibh
Angus
Anrai
Aodh
Aodhagan
Aodhan
Aonghus
Aran 
Ardal
Ardghal
Bairre
Barra
Barrfhionn
Barrfind
Barrie
Barry
Bearach
Berach
Bradach
Braden
Brady
Bran 
Breandan
Brendan
Brendanus
Brennan
Brian
Brogan
Cadogan
Cahal
Cahir
Cainneach
Cairbre
Calbhach
Calvagh
Caoimhin
Caolan
Carbrey
Carbry
Carey
Carrol
Carroll
Carthach
Casey
Cathair
Cathal
Cathan
Cathaoir
Ceallach
Ceallachan
Ceallagh
Cearbhall
Cennetig
Christie 
Christy 
Cian
Cianan
Ciar
Ciaran
Ciardha
Cillian
Cillin
Cinaed
Cionaodh
Clancy
Cody
Coemgein
Coilean
Coleman
Colin 
Colm
Colman
Colum
Columban
Comgal
Comgall
Comgan
Comhghall
Comhghan
Conall
Conan
Conchobhar
Conchur
Conleth
Conley
Conn
Connor
Conor
Conri
Cormac
Cowal
Criostoir
Cuan
Cuimin
Daibhi
Daire
Daithi
Daithi
Dalach
Daley
Daly
Damhan
Dara 
Darach
Daragh
Darragh
Deasun
Declan
Dermot
Derry
Desmond
Devin
Diarmaid
Diarmuid
Domhnall
Domnall
Donagh
Donal
Donal
Donnchadh
Donovan
Doran
Dougal
Doyle
Driscoll
Duane
Dubhan
Dubhghall
Eachann
Eadbhard
Eamon
Eamon
Eamonn
Eanna
Edan
Eibhear
Eibhir
Eimhin
Einri
Enda
Enna
Ennis
Eoghan
Eoin
Erskine
Fachtna
Faolan
Farquhar
Fearchar
Feardorcha
Fearghal
Fearghas
Fechin
Feichin
Feidhlim
Feidhlimidh
Felim
Fergal
Fergus
Fiachna
Fiachra
Fillin
Finbar
Finbarr
Finlay
Finley
Finn 
Finnagan
Finnan
Finnbar
Finnbarr
Finnegan
Finnen
Finnian
Fintan
Fion
Fionn
Fionnan
Fionnbarra
Fionnbharr
Fionnlagh
Fionntan
Flaithri
Flann
Flannan
Florry
Flurry
Gallagher
Gallchobhar
Garbhan
Garvan
Gearalt
Gearoid
Gilroy
Goban
Gofraidh
Grady
Greagoir
Heber 
Iarfhlaith
Iarlaith
Iomhar
Ionatan
Ivor
Jarlath
Kane
Kean
Keane
Keefe
Keegan
Keelan
Keenan
Kelan
Kelly
Kennedy
Kevan
Kevin
Kieran
Kieron
Kilian
Killian
Kyran
Labhras
Lachtna
Laoghaire
Leachlainn
Leary
Liam
Lochlainn
Lochlann
Loman
Lomman
Lonan
Lorcan
Lorccan
Lucas
Lughaidh
Maghnus
Mahon
Mainchin
Mairtin
Maitiu
Malachy
Mannix
Manus
Maolsheachlann
Marcas
Mathuin
Meallan
Mellan
Micheal
Muirchertach
Muireadhach
Muiredach
Muiris
Murchadh
Murdoch
Murphy
Murrough
Murtagh
Naoise
Naomhan
Neil
Nevan
Niall
Ninian
Nioclas
Nolan
Nollaig
Odhran
Odran
Oisin
Oran
Orrin
Oscar
Osheen
Owen 
Paddy
Padraic
Padraig
Patrick
Patsy
Peadar
Phelan
Phelim
Piaras
Pilib
Pol
Proinsias
Quinn
Raghnall
Reagan
Reamann
Rearden
Redmond
Redmund
Riagan
Rian
Rioghnan
Riordan
Risteard
Roibeard
Ronan
Rordan
Rorie
Rory
Rowan
Ruadh
Ruadhan
Ruaidhri
Ruaidri
Ruairi
Ruarc
Ryan
Se
Seachlann
Seachnall
Seafra
Seaghdha
Seamas
Seamus
Sean
Sean
Seanan
Searlas
Sechnall
Senan
Senan
Seoirse
Seosamh
Shamus
Shane
Shay 
Shea
Sheamus
Siothrun
Sitheach
Somhairle
Sorley
Stiofan
Suibhne
Suibne
Sweeney
Tadg
Tadhg
Tadhgan
Teague
Teige
Teigue
Tiarnach
Tiarnan
Tiernan
Tierney
Tigernach
Tigernan
Tighe
Tighearnach
Tighearnan
Toal
Toirdhealbhach
Tomas
Torin
Treasach
Tuathal
Turlough
Uaithne
Uilleag
Uilliam
Uinseann
Ulick
Ultan
