Agafya
Agata
Aglaya
Agnessa
Agrafena
Akilina
Aksinya
Akulina
Albina
Aleksandra
Aleksandrina
Alex
Alexandra
Alisa
Alla
Allochka
Alyona
Anastasia
Anastasiya
Anfisa
Angela
Angelina
Ania
Anna
Annushka
Antonina
Anushka
Anya
Anzhela
Anzhelina
Apollinariya
Ariadna
Arina
Arisha
Asya
Avdotya
Boleslava
Borislava
Bronislava
Darya 
Diana
Dominika
Dunya
Dunyasha
Ekaterina
Elena
Eleonora
Elizaveta
Elvira
Esfir
Eva
Evdokiya
Evgenia
Evgeniya
Evpraksiya
Faina
Fedora
Feodora
Gala
Galina
Galya
Gennadiya
Grusha
Inga
Inna
Ira 
Irina
Irinushka
Isidora
Ivanna
Jekaterina
Julia
Juliya
Karina
Katenka
Katerina
Katia
Katya
Katyusha
Kira 
Klara
Klava
Klavdiya
Kristina
Kseniya
Lana
Lara 
Larisa
Lena
Lera
Lidiya
Lidochka
Lilia
Liliya
Lilya
Liouba
Liza
Lizaveta
Luba
Ludmila
Ludmilla
Lyuba
Lyubochka
Lyubov
Lyudmila
Manya
Marfa
Margarita
Maria
Marina
Mariya
Marta
Marya
Maryana
Masha
Matrona
Matryona
Mila
Milana
Milena
Miroslava
Motya
Nadejda
Nadezhda
Nadia 
Nadya 
Nastasia
Nastasya
Nastya
Nata
Natali
Natalia
Nataliya
Natalya
Natasha
Nika 
Nina 
Ninel
Nonna
Oksana
Olga
Olya
Oxana
Pelageya
Pelagiya
Petia
Petya
Polina
Praskoviya
Praskovya
Rada
Raisa 
Raya
Roksana
Roza 
Rozaliya
Ruf
Rufina
Sabina
Sanya 
Sasha
Selena
Serafima
Shura
Slava
Snezhana
Sofia
Sofiya
Sofya
Sonya
Stanislava
Stasya
Susanna
Sveta
Svetlana
Syuzanna
Taisiya
Tamara
Tanya
Tasha
Tatiana
Tatyana
Toma 
Tonya
Tsetsiliya
Uliana
Ulyana
Ustinya
Valentina
Valeriya
Varvara
Varya
Vasilisa
Vaska
Venera
Vera 
Verochka
Veronika
Verusha
Viktoria
Viktoriya
Violetta
Vitaliya
Vladislava
Yana
Yaroslava
Yekaterina
Yelena
Yelizaveta
Yesfir
Yeva
Yevdokiya
Yevgeniya
Yevpraksiya
Yulia
Yuliana
Yulianna
Yuliya
Yustina
Zhanna
Zhannochka
Zhenya
Zina
Zinaida
Zinoviya
Zlata
Zoya
