Ar-cim-bol-do
Bal-do-vi-net-ti
Bar-bar-ig-o
Bel-li-ni
Bron-zi-no
Ca-ra-fa
Cel-li-ni
Con-ta-rini
Cri-vel-li
d'-Es-te
da- Mon-te-fel-tro
da- Vi-go
de'-Bar-ba-ri
de'-Me-di-ci
de'- Ro-ssi
Don-a-to
Far-ne-se
Fon-ta-na
Fon-te
Fos-ca-ri
Gon-za-ga
Grit-ti
Lo-re-dan
Ma-la-tes-ta
Mo-cen-ig-o
Ro-sso
S-for-za
Va-sa-ri
Ve-nez-i-ano
Vis-con-ti
