Adomas
Albertas
Aleksandras
Alfredas
Andrius
Antanas
Aras
Arturas
Augustas
Augustinas
Aurelijus
Azuolas
Benas
Benediktas
Benjaminas
Bronislovas
Bronius
Danielius
Darijus
Darius
Daumantas
Dominykas
Donatas
Dovydas
Edgaras
Emilis
Erikas
Ernestas
Eugenijus
Gabrielius
Giedrius
Gintaras
Gvidas
Henrikas
Herkus
Ignas
Jaroslavas
Jokubas
Jonas 
Juozapas
Juozas
Jurgis
Justinas
Kajus
Karolis
Kasparas
Kazimieras
Kestutis
Kristijonas
Kristupas
Laurynas
Leonas
Linas
Liudvikas
Lukas
Marijus
Martynas
Matas
Mindaugas
Modestas
Motiejus
Mykolas
Nojus
Paulius
Petras
Pilypas
Pranciskus
Raimondas
Ramunas
Ricardas
Robertas
Saulius
Simonas
Stanislovas
Stasys
Steponas
Tadas
Titas
Tomas
Valdas
Valdemaras
Viktoras
Vilhelmas
Viltautas
Vincentas
Virgilijus
Visvaldas
Vitalijus
Vladimiras
Voldemaras
Vygantas
Vytautas
Zydrunas
