Gi-o-va-nni
An-to-ni-o
Pi-e-ro
Fran-ces-co
Ia-co-po
Bar-to-lo-me-o
Nic-co-lo
Do-me-ni-co
Lo-ren-zo
An-dre-a
Mi-che-le
To-mma-so
Ma-tte-o
Fi-li-ppo
Ber-nar-do
Pa-go-lo
Si-mone
Na-nni
Cris-to-fa-no
Za-no-bi
Ag-no-lo
Le-o-nar-do
Lu-ca
Bar-to-lo
Be-ne-det-to
Ste-fa-no
Mar-co
Lo-do-vi-co
Gui-do
Sal-ves-tro
Nic-co-la-io
Ma-so
Bi-a-gi-o
Mar-ti-no
San-dro
Ce-cco
Do-na-to
Ne-ri
Gior-gi-o
Tad-de-o
Me-o
Car-lo
Fro-si-no
A-gos-ti-no
Lu-i-gi
Guas-parre
Pa-pi
Ghe-rar-do
Nar-do
No-fri
Bas-ti-an-o
Ber-to
Pi-ppo
San-ti
Ar-ri-go
Gu-gli-el-mo
Ma-ri-ot-to
Giu-sto
Ma-ri-an-o
Va-nni
Di-no
Go-ro
Be-tto
U-go-li-no
Ba-ttis-ta
La-po
Ri-nal-do
Bal-do
Ri-nie-ri
Ro-ber-to
Buo-no
Ci-pri-an-o
Ge-ri
Gu-cci-o
Ro-mo-lo
Bal-das-sarr
Cam-bi-o
La-zze-ro
Lo-tto
Ber-na-ba
Ce-nni
Chi-men-to
Cor-so
Gir-o-la-mo
Mi-ni-ato
Sal-va-dore
A-les-san-dro
A-mer-i-go
Bin-do
Du-cci-o
Al-ber-to
A-les-so
Am-bro-gi-o
Be-tti-no
Gab-bri-el-lo
Mar-chi-on-ne
Nen-ci-o
Bi-an-co
Bo-na-cor-so
Bru-no
Da-niel-lo
Fe-de-ri-go
Lan-do
Ma-net-to
Pace
Ri-ccar-do
Ci-no
Co-rra-do
Li-ppo
Ni-cco-la
Pu-ccio
Ri-dol-fo
Vie-ri
A-ni-chi-no
Bar-do
Gen-ti-le
Ghi-ri-go-ro
Gu-el-fo
Ma-ffe-o
Ma-nno
Ne-llo
Sal-vi
Sta-gi-o
Ven-tu-ra
A-tta-vi-an-o
Ben-ve-nu-to
Cio-ne
Don-ni-no
Fe-de
Fe-lice
Gi-no
Giun-ta
Nal-do
Nu-cci-o
Pas-qui-no
Pi-er-oz-zo
Ri-cco
Ri-sto-ro
Ros-so
Sco-lai-o
Ta-no
U-ber-to
U-go
Ve-tto-ri-o
A-la-man-no
A-pol-lon-io
Ban-co
Bo-naiu-to
Chi-ar-o
Fe-o
Fran-co
Gi-an-no-zzo
Gi-an-o
Gi-o-va-cchin
Mi-gli-or-e
Nu-to
Or-lan-do
Pa-lla
Ro-mi-gi
Sin-i-bal-do
Stol-do
U-ber-ti-no
Vin-cen-zo
A-da-mo
Ag-no-li-no
A-ver-ar-do
Ba-ro-ne
Be-ni-no
Be-noz-zo
Ber-ti-no
Bo-cca-ccio
Bo-ni-fa-zi-o
Cam-bi-no
Car-di-nale
Da-ddo
Do-ffo
Fa-bi-a-no
Gio-van-nozz
Gio-ven-co
Gual-ti-eri
Ni-cco-li-no
Ni-gi
Or-man-no
Pu-cci-no
Ru-ggi-eri
Sme-ral-do
Tin-go
U-gu-cci-on-e
Ur-ba-no
Vi-co
Za-ccher-ia
A-bra-mo
A-do-var-do
Al-bi-zzo
A-mi-de-o
Ban-di-no
Ben-ci-ven-ni
Bo-na-gui-da
Bo-ni-no
Bo-no
Bon-si
Bu-cci-o
Bu-to
Cas-tel-lo
Chi-men-ti
Co-la
Con-te
Cos-i-mo
De-go
De-o
Di-e-di
Gher-ar-di-no
Gia-nni-no
Gra-z-ia
Gual-te-rott
I-a-co-mo
Lam-ber-to
La-pa-cci-o
Ma-cci-o
Mai-nar-do
Ma-ri-no
Mi-no
Mon-te
Na-nni-no
No-zzo
Pa-ci-no
Pan-dol-fo
Pi-e-tro
Po-li-to
Pri-o-re
Ra-mon-do
Spi-ne-llo
Stro-zza
Ti-e-ri
To-mme
Va-nno-zzo
