Agne
Albina
Aldona
Amalija
Audra 
Aurelija
Austeja
Ausra
Barbora
Birute
Daina
Daiva
Dalia 
Danute
Diana
Donata
Doroteja
Edita
Egle
Elena
Elze
Elzbieta
Emilija
Ernesta
Estera
Gabija
Gabriele
Gertruda
Giedre
Gintare
Ieva
Ilona
Inga
Irena
Irma
Jadvyga
Janina
Jelena
Jolanta
Judita
Julija
Justina
Kamile
Karolina
Katre
Kotryna
Kristina
Laima
Laimute
Lilija
Lina 
Liucija
Liudvika
Leja
Margarita
Marija
Marijona
Melanija
Migle
Milda
Monika
Morta
Odeta
Ona 
Paulina
Rasa
Regina
Rozalija
Roze
Ruta
Sandra
Saule
Silvija
Simona
Smilte
Sofija
Solveiga
Svajone
Tatjana
Ugne
Urte
Vaiva
Valerija
Veronika
Viktorija
Vilhelmina
Viltaute
Vilte
Violeta
Vita
Vitalija
