Aaricia
Abelone
Adelheid
Agata
Agathe
Agda
Agnes
Agneta
Agnete
Agnetha
Agnethe
Agnita
Agot
Aina
Alberte
Alexandra
Alfhild
Alfrun
Alice
Alicia
Alva
Alvhilde
Alvilda
Alvilde
Amalia
Amalie
Amata
Andrea
Andrine
Ane
Anesa
Anezka
Anika
Anike
Anitra
Anka
Anna
Annaliese
Anne
Anneka
Annelie
Annelise
Annica
Annicka
Annifrid
Annik
Annika
Annike
Anniken
Ansgard
Antonetta
Antonia
Arnhild
Arriet
Asa
Asfrid
Asta
Astrid
Aurora
Ågot
Åsa
Åse
Åsta
Barbo
Barbra
Barbro
Beata
Benedicte
Benedikte
Bengta
Bente
Berit
Berrit
Bibi
Biddy
Birget
Birgid
Birgit
Birgita
Birgitt
Birgitta
Birgitte
Birta
Birte
Birthe
Bjork
Björk
Blanka
Blenda
Bodil
Brigitta
Brit
Brita
Britt
Britta
Brynhild
Brynhildur
Camilla
Carina
Carinna
Carita
Carla
Carlera
Carlina
Carlita
Carolinda
Caroline
Caryn
Catharina
Cecilia
Cecilie
Celia
Charlotta
Charlotte
Christa
Christin
Christina
Christine
Chrlotta
Cilla
Cille
Clara
Claudia
Daelyn
Dagmar
Dagna
Dagne
Dagney
Dagny
Dagrun
Dahl
Daly
Dania
Dayna
Dea
Disa
Ditte
Dorete
Dorit
Dorothea
Dorte
Dorthe
Dyveke
Edda
Edla
Eija
Elin
Elina
Elisabet
Elisabeth
Elise
Ella
Ellen
Ellinor
Elna
Eloisa
Elsa
Else
Elva
Embla
Emelie
Emilia
Emilie
Emma
Engla
Erica
Erika
Erna
Ester
Estrid
Eva
Evelina
Felicia
Filippa
Fray
Frederika
Frederikke
Freia
Freja
Frey
Freya
Freydis
Freydís
Freyja
Froja
Frøydis
Gala
Gefion
Gerda
Gina
Gitta
Gittan
Gitte
Greta
Grete
Grethe
Gro
Gudrun
Gundis
Gunhild
Gunhilda
Gunlod
Gunnhild
Gunnlod
Gunnlöd
Guro
Gustava
Haldis
Hanna
Hanne
Heda
Hedda
Hedvig
Heidi
Helena
Helene
Helga
Helle
Hellevi
Helsa
Hendrika
Henriette
Henrika
Henrike
Henrikke
Herdis
Hilda
Hilma
Hjördis
Hjørdis
Hulda
Ida
Ilone
Ina
Ine
Inga
Inge
Ingeberg
Ingebjørg
Ingeborg
Ingegjerd
Ingela
Inger
Ingjerd
Ingmar
Ingrid
Ingunn
Ingvild
Irene
Isabel
Isabella
Iselin
Jadzia
Janina
Janita
Janna
Janne
Jannicke
Jannike
Jensdatter
Jensina
Jensine
Johanna
Johanne
Jona
Jonna
Jordis
Jorunn
Josefa
Josefin
Jóhanna
Jóna
Jördis
Judit
Julie
Jutta
Kai
Kaisa
Kaj
Kaja
Kajsa
Karen
Karena
Karenna
Kari
Karila
Karin
Karina
Karita
Karla
Karlita
Karolina
Karoline
Kasen
Kathrina
Katla
Katrin
Katrine
Katsa
Kelda
Kersti
Kerstin
Kia
Kiersten
Kine
Kirsten
Kirstie
Kirstin
Klara
Kolina
Kornelis
Kris
Krista
Kristanna
Kristen
Kristin
Kristina
Kristine
Laerke
Lena
Lene
Lilja
Linda
Linnaea
Linnea
Linnéa
Lis
Lisa
Lise
Liska
Litzy
Liv
Live
Lotta
Lova
Lovisa
Lovise
Lucia
Lycka
Lys
Lyse
Madelen
Madita
Magdalena
Mai
Maiken
Maj
Maja
Malene
Malin
Malvina
Mareen
Maren
Marene
Maret
Marete
Margareta
Margarete
Margaretha
Margarethe
Margit
Margita
Margitta
Margreta
Margrete
Margrethe
Mari
Maria
Mariel
Marika
Marit
Marna
Marta
Marte
Martha
Marthe
Mathea
Matilda
Märta
Meja
Mereta
Merete
Merja
Meta
Mette
Mia
Michaela
Mie
Mikaela
Mikelena
Milla
Mille
Milly
Mine
Mirjam
Moa
Mona
Monika
My
Nanna
Nanne
Natasja
Nea
Nicoline
Nilsa
Nilsine
Nisse
Nora
Nordis
Nyssa
Oda
Pernilla
Pernille
Petronella
Pia
Piia
Rae
Ragnfrid
Ragnhild
Rakel
Rakelle
Randi
Rane
Rebecka
Rebekka
Rigmor
Riikka
Rikke
Rona
Ronja
Rosa
Rosemarie
Runhild
Rut
Ruth
Saga
Sanna
Sara
Sarah
Sassa
Satu
Seija
Selma
Signe
Signi
Signy
Sigrid
Sigrun
Silja
Silje
Sille
Silva
Simona
Sina
Sini
Siri
Sissel
Smilla
Sofi
Sofia
Sofie
Solveig
Solveigh
Solvej
Solvejg
Solvig
Sonja
Sonya
Stina
Sunhild
Sunniva
Suvi
Svanhild
Svea
Svenia
Svenja
Sylvi
Sylvia
Synne
Synnöve
Synnøve
Tea
Tekla
Telma
Teodora
Terese
Thea
Theda
Thora
Thordis
Thorhild
Thurid
Thyra
Tiina
Tilda
Tilde
Tina
Tindra
Tiril
Tjorven
Tonje
Tora
Tordis
Torhild
Torill
Tova
Tove
Trine
Turid
Tuuli
Tuulia
Tuva
Tyra
Ula
Ulla
Ulrica
Ulrika
Ulrike
Unn
Urbana
Ursula
Vanja
Vendela
Vendla
Venus
Vera
Veronika
Vibeke
Vickan
Vigdis
Viktoria
Vilde
Vilhelmina
Vilhelmine
Vilma
Viola
Virginia
Vita
Viveca
Viviann
Vivianne
Vivica
Wanja
Wencke
Wera
Ylva
Yvon
Zabina
