A-bel
A-bra-ham
A-chil-le
A-dam
A-dol-phe
A-dri-en
A-de-lard
Ai-me
A-lain
A-lan
Al-ban
Al-bert
Al-bin
Al-cide
Al-dric
Al-de-ric
A-lex
A-lex-an-dre
A-le-xis
Al-fred
Al-phonse
A-ma-ble
A-mand
A-mau-ry
Am-broise
A-mour
A-me-dee
A-na-to-le
An-dre
An-sel-me
An-thel-me
An-toi-ne
An-to-nin
A-pol-li-naire
A-ri-el
A-ris-tide
Ar-mand
Ar-mel
Ar-naud
Ar-sene
Ar-thur
Au-bert
Au-bin
Au-gus-te 
Au-gus-tin
Au-rele
Au-re-li-en
Ba-by-las
Bap-tiste
Bar-na-be
Bar-the-le-my
Ba-sile
Bas-ti-en
Bau-dou-in
Ben-ja-min
Be-noit
Ber-nard
Ber-trand
Blaise
Bo-ni-face
Brice
Bru-no
Be-ren-ger
Ca-lix-te
Ca-mille
Can-dide
Ca-si-mir
Char-les
Char-lot
Chris-ti-an
Chris-tophe
Clair
Claude
Clo-vis
Cle-ment
Con-stant
Con-stan-tin
Co-ren-tin
Co-rin
Cor-neille
Cos-me
Cy-pri-en
Cy-ril
Cy-rille
Ce-dric
Ce-leste
Ce-les-tin
Ce-saire
Ce-sar
Co-me
Da-mi-en
Dan 
Da-niel
Da-vid
De-niel
De-nis
Di-dier
Dieu-donne
Di-mi-tri
Di-o-dore
Do-mi-nique
Do-nat
Do-na-tien
Do-ri-an
De-o-dat
De-sire
Ed-gar
Ed-gard
Ed-mond
Ed-me
E-lou-an
Em-ma-nu-el
Er-nest
Er-wan
Er-wann
E-than
Eu-gene
Eu-stache
Fa-bi-en
Fa-brice
Fer-di-nand
Fer-nand
Fi-ac-re
Fir-min
Fla-vi-en
Flo-rence
Flo-rent
Flo-ren-tin
Flo-ri-an
Fran-cis
Fran-cisque
Franck
Frank 
Fran-cois
Fran-sez
Fred
Fre-de-ric
Ful-bert
Fe-li-cien
Fe-lix
Ga-bin
Ga-bri-el
Gas-pard
Gas-ton
Gau-bert
Gaul-tier
Gau-thi-er
Gau-tier
Gau-vain
Gae-tan
Gael
Gae-tan
Ge-of-frey
Ge-of-froy
Geor-ges
Ger-main
Ger-vais
Ghis-lain
Ghys-lain
Gil-bert
Gil-les
Go-de-froy
Gra-ti-en
Gre-goire
Guil-lau-me
Gus-tave
Guy
Gwe-nael
Gwen-neg
Gwil-herm
Ge-rald
Ge-rard
Ge-raud
Ha-dri-en
Hec-tor
Hen-ri
Her-bert
Her-cule
Her-ve
Hi-lai-re
Hip-poly-te 
Ho-nore
Ho-race
Hu-bert
Hu-gues
Hum-bert
Hya-cinthe
Ig-nace
Ire-nee
I-si-dore
Jac-ky
Jac-ques
Jade
Jas-min 
Ja-son
Jean 
Jean-bap-tiste
Jean-ma-rie
Jean-not
Jes-se
Joa-chim
Jo-ce-lyn
Jo-doc
Jof-frey
Jo-na-than
Jo-seph
Jos-se
Jos-se-lin
Jo-sue
Jour-dain
Jo-el
Ju-di-cael
Ju-di-kael
Ju-doc
Ju-les 
Ju-li-en
Jus-te
Jus-tin
Je-re-mie
Je-rome
Ke-vin
Ki-li-an
Kil-li-an
Ky-li-an
Lam-bert
Lau-rent
Lau-ren-tin
La-zare
Li-li-an
Li-o-nel
Loan
Lo-ann
Lo-thaire
Lou
Lou-is
Loup
Lo-ic
Luc
Lu-cas
Lu-ci-en
Lu-crece
Lu-do-vic
Le-an-dre
Le-o
Le-on
Le-o-nard
Le-once
Leo-nide
Leo-pold
Mael
Ma-nu 
Ma-nu-el
Marc
Mar-cel
Mar-ce-lin
Mar-cel-lin
Ma-rin
Ma-ri-us
Mar-tin
Ma-thi-as
Ma-thieu
Ma-this
Ma-thys
Ma-the-o
Mat-thi-as
Mat-thieu
Ma-te-o
Mau-rice
Ma-xence
Ma-xime
Ma-xi-mi-li-en
Mael
Mi-chael
Mi-chel
Mic-kael
Mo-des-te
Mor-gan 
Moise
Na-po-le-on
Nar-cis-se
Na-than
Na-tha-nael
Na-zaire
Ni-co-de-me
Ni-co-las
Ni-ce-phore
Nor-bert
Noe
No-el
Oc-tave
O-di-lon
O-li-vier
O-ne-sime
Os-car
Pa-drig
Pa-ol
Pas-cal
Pa-trice 
Pa-trick
Paul
Per
Pe-rig
Pha-ra-mond
Phil-bert
Phi-li-bert
Phi-lip-pe
Pi-er-re
Pi-er-rick
Pla-cide
Pons
Pros-per
Pru-dence
Quen-tin
Rai-nier
Ra-oul
Ra-pha-el
Ray-mond
Re-nard
Re-naud
Rene
Rey-naud
Ri-chard
Ro-bert
Roch
Ro-dolph
Ro-dolphe
Rod-rigue
Ro-ger
Ro-land
Ro-main
Ro-parzh
Ro-saire
Ru-ben
Re-gis
Re-mi
Re-my
Sa-cha
Sa-lo-mon
Sam-son
Sa-mu-el
Sa-sha
Ser-ge
Si-mon 
Six-te
Ste-phane
Syl-vain
Syl-ves-tre
Se-bas-ti-en
Se-ra-phin
Se-ve-rin
Se-vere
Thi-bault
Thi-er-ry
Tho-mas
The-o
The-o-dore
Theo-phile
Theo-time
Ti-mo-the
Ti-mo-thee
Tous-saint
Tris-tan
Te-le-sphore
U-gene
U-lys-se
Ur-bain
Vaast
Va-len-tin
Va-lere
Va-le-ri-an
Va-le-ry
Ves-pa-si-en
Vic-tor
Vin-cent
Vi-vi-en 
Wi-noc
Xa-vier
Ya-nick
Yann
Yan-nic
Yan-nick
Ye-ze-kael
Y-ves
Y-von
Za-cha-rie
E-douard
E-lie
E-loi
E-me-ric
E-mile
E-mi-li-en
E-ric
E-tien-ne
E-va-riste
Ev-rard
