Achilles
Achilleus
Adonis
Adrastos
Aeolus
Aeson
Agamemnon
Aias
Aineias
Aiolos
Ajax
Alcides
Alexander
Alexandros
Alkeides
Apollo
Apollon
Ares
Argus
Aristaeus
Aristaios
Aristodemos
Asclepius
Asklepios
Atlas
Bacchus
Brontes
Cadmus
Castor
Cephalus
Cepheus
Cerberus
Charon
Chryses
Coeus
Crius
Cronus
Daedalus
Daidalos
Damocles
Damokles
Damon
Dardanos
Deimos
Diomedes
Dionysos
Dionysus
Endymion
Epimetheus
Erebos
Erebus
Eros
Euandros
Evander 
Ganymede
Ganymedes
Glaucus
Glaukos
Hades
Haides
Hector
Hektor
Helios
Hephaestus
Hephaistos
Heracles
Herakles
Hermes
Hippolytos
Hyacinth 
Hyacinthus
Hyakinthos
Hyperion
Iacchus
Iapetos
Iapetus
Iason
Icarus
Ikaros
Ion 
Jason
Kadmos
Kastor
Kephalos
Kepheus
Kerberos
Koios
Kreios
Kronos
Laios
Laius
Leander
Leandros
Linos
Linus
Lycurgus
Lycus
Lykos
Lykourgos
Melanthios
Menelaos
Menelaus
Mentor
Midas
Minos
Morpheus
Myles 
Narcissus
Narkissos
Neoptolemos
Neoptolemus
Nereus
Nestor
Nikephoros
Oceanus
Odysseus
Oedipus
Oidipous
Okeanos
Orestes
Orion
Orpheus
Ouranos
Pallas 
Pan
Paris 
Patroclus
Patroklos
Pegasus
Perseus
Philander
Philandros
Phobos
Phoebus
Phoibos
Phrixos
Phrixus
Plouton
Pluto
Polydeukes
Poseidon
Priam
Priamos
Priapos
Priapus
Prometheus
Proteus
Pyrrhos
Pyrrhus
Pythios
Sarpedon
Simon 
Thanatos
Theseus
Tychon
Uranus
Xanthos
Zephyr
Zephyros
Zephyrus
Zeus
