Afra 
Amabilia
Amanda
Amata
Amor
Anatolia
Angela
Aurea
Barbara
Beata
Beatrix
Benedicta
Benigna
Bibiana
Candida
Carina 
Christiana
Clara
Claritia
Clementia
Columba
Constantia
Constantina
Corona
Crescentia
Cyriaca
Delphina
Desiderata
Desideria
Dionysia
Dominica
Donata
Eligia
Felicia
Feliciana
Felicitas
Felina
Florentia
Florentina
Florina
Fortunata
Francisca
Honorata
Honoria
Honorina
Ignatia
Isaura
Iucunda
Iustina
Johanna
Justina
Katerina
Laetitia
Laura
Leocadia
Leonia
Leontina
Liberia
Margarita
Matrona
Maura 
Melania
Modesta
Monica
Narcissa
Natalia
Oliva
Patricia
Perpetua
Petronilla
Pia
Placida
Primitiva
Prudentia
Quirina
Regina
Regula
Renata
Romana
Rosalia
Salvatrix
Scholastica
Seraphina
Serena
Sibylla
Sidonia
Silvia
Sollemnia
Sperantia
Sybilla
Therasia
Ursa
Ursula
Verena
Veronica
Viatrix
Victoria
Victorina
Violante
Viviana
