Africa 
Aideen
Aifric
Aigneis
Ailbhe
Aileen
Ailis
Aingeal
Aislin
Aisling
Aislinn
Aithne
Alannah
Alastriona
Aoibhe
Aoibheann
Aoibhin
Aoife
Aran 
Ashling
Assumpta
Bedelia
Bevin
Biddy
Bidelia
Blanid
Blaithin
Blathnaid
Blathnat
Breda
Bree
Bride
Bridget
Bridie
Brighid
Brigid
Brogan
Bronagh
Brid
Brigh
Bronach
Bairbre
Bebhinn
Bebhionn
Bebinn
Beibhinn
Caitlin
Caitlin
Caitria
Caitriona
Caoileann
Caoilfhionn
Caoilinn
Caoimhe
Carey
Casey
Cathleen
Catrina
Catriona
Chevonne
Ciannait
Ciara 
Cleena
Clodagh
Cliodhna
Cliona
Concepta
Cait
Damhnait
Darina 
Dearbhail
Deirbhile
Deirdre
Delma
Derval
Dervila
Dervla
Devin
Devnet
Doireann
Dymphna
Dympna
Dairine
Eadan
Eavan
Edna 
Eibhlin
Eileen
Eilish
Eilis
Eimear
Eireann
Eireen
Eithne
Elva 
Emer
Ena 
Ennis
Enya
Erin
Ethna
Ethne
Etna
Fedelma
Feidhelm
Fidelma
Finley
Finnguala
Finnuala
Finola
Fionnghuala
Fionnuala
Fionola
Flann
Flannan
Fiona
Gobinet
Gobnait
Gobnet
Gormflaith
Gormlaith
Grania
Granya
Grainne
Honora
Immaculata
Isibeal
Ita
Iuile
Kathleen
Keavy
Keelan
Keelin
Keeva
Kelly
Kennedy
Kiera
Laoise
Luiseach
Lean
Liadan
Liadain
Lile
Madailein
Maeve
Mairenn
Mairead
Mallaidh
Maura 
Maureen
Maurine
Mave
Mavourneen
Meadhbh
Meave
Moira
Mona 
Monat
Moreen
Morna
Moyna
Moyra
Muadhnait
Muireann
Muirenn
Muirgel
Muirgen
Muirgheal
Muirin
Muriel
Murna
Murphy
Myrna
Maire
Mairin
Meabh
Moirin
Mor
Nainsi
Naomh
Neasa
Neassa
Nessa 
Neve
Niamh
Nola
Nollaig
Nora
Norah
Noreen
Norene
Nuala
Noirin
Nora
Odharnait
Onora
Oona
Oonagh
Orla 
Orlagh
Orna 
Ornat
Patsy
Padraigin
Quinn
Raghnailt
Rathnait
Reagan
Ronit 
Rosheen
Rowan
Raicheal
Riona
Rionach
Rois
Roisin
Sadb
Sadbh
Sadhbh
Saibh
Saoirse
Saraid
Shavonne
Shea
Sheila
Shevaun
Shevon
Sibeal
Sinead
Siobhan
Siofra
Sive
Slaine
Sorcha
Searlait
Sile
Sine
Siomha
Sithmaith
Talulla
Tierney
Toireasa
Treasa
Aine
Eabha
Eadaoin
Eimhear
Etain
Ide
Orfhlaith
Orlaith
Una
