Ace
A-dor-jan
A-dri-an
A-dri-a-no
A-dri-a-nus
A-fri-ca
A-fri-ca-nus
A-gos-tin-ho
A-gos-ton
A-grip-pa
A-gus-ti-no
A-gus-to
A-ko-ni
Al-bin
A-ma-de-o
A-ma-de-us
A-me-de-o
A-mi-as
A-mi-cus
A-na-ko-ni
Ange
A-ni-el-lo
An-nun-zi-o
An-tal
An-tho-ny
An-toine
An-ton
An-to-ni
An-to-ni-o
An-to-ni-us
An-ton-ni
An-toon
A-qua-ri-us
A-qui-la
Ar-gen-to
A-rie
Ar-jan
At-ti-cus
At-ti-la
Au-gust
Au-gus-tine
Au-gus-ti-no
Au-gus-tus
Au-rel
Au-re-li-an
Au-re-li-a-nus
Au-re-li-o
Au-re-li-us
Au-re-o
Au-stin
Ba-la-zs
Ba-len-din
Ba-lint
Bap-tist
Bap-tiste
Bas
Ba-sil
Bas-tia-an
Bau-tis-ta
Ben-ce
Ben-dt
Be-ne-dek
Be-ne-det-to
Be-ne-dict
Be-ne-di-to
Ben-gt
Be-ni-ci-o
Be-ni-to
Ben-nett
Be-noit
Ben-son
Ben-to
Benz
Bi-ag-gio
Blaise
Blaze
Bla-zej
Bo-na-ven-to
Bo-ni-fa-as
Bo-ni-to
Bras
Cae-sar
Cae-ta-no
Cai-le-an
Cai-us
Cal-lum
Car-sten
Cas-si-an
Cas-si-us
Ca-to
Ce-cil
Ce-es
Ce-les-tine
Cel-so
Ce-sare
Ce-za-ry
Cham-bers
Ches-ter
Chet
Che-va-li-er
Che-vy
Chi-co
Chris-ten
Chris-ter
Chris-ti-an
Ci-ce-ro
Cin-cin-na-tus
Clair
Cla-rence
Claude
Clau-di-o
Clau-di-us
Cle-mens
Cle-ment
Colm
Co-lom-bo
Co-lum
Co-lum-bus
Con-stans
Con-stant
Con-stan-tine
Cor-de-ro
Co-rin-thi-an
Co-ri-o-la-nus
Cor-ne-li-o
Cor-ne-li-us
Cor-nell
Cor-rin
Cor-vin
Cris-ti-a-no
Cu-pid
Dan-te
De-cem-ber
De-ci-mus
De-mar-cus
De-my-an
Des-tin
Di-di-er
Di-e-go
Di-o-go
Dom
Do-me-ni-co
Do-min-go
Do-min-gos
Do-mi-nic
Do-mi-nique
Do-mon-kos
Do-na-tas
Don-a-tel-lo
Duke
Du-rant
Du-ran-te
Ea-gle
Ee-me-li
El-le-ry
E-lo-i
E-me-rens
E-mil
E-mi-li-o
Er-roll
Fa-as
Fa-bi-o
Fa-bri-zi-o
Faust
Faus-ti-no
Faus-to
Faus-tus
Fe-liks
Fe-lix
Fe-renc
Fe-ri
Fer-ko
Fi-del
Fir-min
Fla-vi-an
Fla-vi-o
Fla-vi-us
Floor
Flo-rence
Flo-ris
Fran-cis
Fran-cis-co
Fran-cis-zek
Fran-co
Frang
Frank
Fran-kie
Frans
Fran-ti-sek
Fris-co
Gae-tan
Gae-ta-no
Gai-dar
Gai-nes
Gai-us
Ga-lo
Gar-net
Ga-vi-no
Ge-mi-ni
Giu-li-a-no
Gu-us
Gyu-la
Ha-dri-an
Hil-la-ry
Ho-race
Ho-ra-ci-o
Ho-ra-ti-o
Ig-na-ci-o
I-sau-rus
Iz-zy
Ja-mar-cus
Ja-nus
Jer-maine
Jost
Jour-ney
Judge
Ju-lek
Ju-les
Ju-li-an
Ju-li-o
Ju-li-us
Ju-nior
Ju-ni-us
Ju-pi-ter
Jus-tin
Jus-ti-ni-an
Ju-styn
Kai
Kai-ser
