Ace
Adorjan
Adrian
Adriano
Adrianus
Africa
Africanus
Agostinho
Agoston
Agrippa
Agustino
Agusto
Akoni
Albin
Amadeo
Amadeus
Amedeo
Amias
Amicus
Anakoni
Ange
Aniello
Annunzio
Antal
Anthony
Antoine
Anton
Antoni
Antonio
Antonius
Antonni
Antoon
Aquarius
Aquila
Argento
Arie
Arjan
Atticus
Attila
August
Augustine
Augustino
Augustus
Aurel
Aurelian
Aurelianus
Aurelio
Aurelius
Aureo
Austin
Balazs
Balendin
Balint
Baptist
Baptiste
Bas
Basil
Bastiaan
Bautista
Bence
Bendt
Benedek
Benedetto
Benedict
Benedito
Bengt
Benicio
Benito
Bennett
Benoit
Benson
Bento
Benz
Biaggio
Blaise
Blaze
Blazej
Bonavento
Bonifaas
Bonito
Bras
Caesar
Caetano
Cailean
Caius
Callum
Carsten
Cassian
Cassius
Cato
Cecil
Cees
Celestine
Celso
Cesare
Cezary
Chambers
Chester
Chet
Chevalier
Chevy
Chico
Christen
Christer
Christian
Cicero
Cincinnatus
Clair
Clarence
Claude
Claudio
Claudius
Clemens
Clement
Colm
Colombo
Colum
Columbus
Constans
Constant
Constantine
Cordero
Corinthian
Coriolanus
Cornelio
Cornelius
Cornell
Corrin
Corvin
Cristiano
Cupid
Dante
December
Decimus
Demarcus
Demyan
Destin
Didier
Diego
Diogo
Dom
Domenico
Domingo
Domingos
Dominic
Dominique
Domonkos
Donatas
Donatello
Duke
Durant
Durante
Eagle
Eemeli
Ellery
Eloi
Emerens
Emil
Emilio
Erroll
Faas
Fabio
Fabrizio
Faust
Faustino
Fausto
Faustus
Feliks
Felix
Ferenc
Feri
Ferko
Fidel
Firmin
Flavian
Flavio
Flavius
Floor
Florence
Floris
Francis
Francisco
Franciszek
Franco
Frang
Frank
Frankie
Frans
Frantisek
Frisco
Gaetan
Gaetano
Gaidar
Gaines
Gaius
Galo
Garnet
Gavino
Gemini
Giuliano
Guus
Gyula
Hadrian
Hillary
Horace
Horacio
Horatio
Ignacio
Isaurus
Izzy
Jamarcus
Janus
Jermaine
Jost
Journey
Judge
Julek
Jules
Julian
Julio
Julius
Junior
Junius
Jupiter
Justin
Justinian
Justyn
Kai
Kaiser
Kalem
Kalum
Kees
Kelemen
Kepano
Kimo
Klaudiusz
Klement
Kliment
Kolm
Konstantin
Konstantyn
Kornel
Kostya
Kresten
Krisztian
Krystyn
Lamar
Larkin
Larry
Lars
Lasse
Lassi
Laur
Laurel
Lauren
Laurenco
Laurens
Laurentin
Laurentinus
Laurentius
Laurits
Lauritz
Lawrence
Lawson
Leo
Leon
Leos
Lev
Lian
Lionel
Livy
Loran
Loren
Lorenz
Lorenzo
Lorin
Lorinc
Lourenco
Lucero
Lucian
Luciano
Lucien
Lucio
Lucius
Lucjusz
Lucretius
Lux
Maarku
Magnus
Major
Maksim
Maleko
Mannis
Mans
Manus
Marc-antoine
Marcas
Marcel
Marceli
Marcello
Marcellus
Marcelo
Marchello
Marcial
Marcin
Marco
Marcos
Marcus
Marek
Marin
Marinho
Marino
Mario
Marius
Mariusz
Mark
Markel
Marquez
Martel
Martim
Martin
Martti
Mauno
Mauri
Maurice
Mauricio
Maurizio
Mauro
Maury
Maurycy
Max
Maxim
Maximilian
Maximiliano
Maximus
Mercutio
Mo
Mogens
Montana
Montserrat
Moritz
Morris
Nat
Nazario
Nemo
Nero
Noel
Ocean
Octavian
Octavio
Octavius
Ollie
Ora
Otavio
Ottavio
Ovid
Paavo
Pablo
Pacifico
Paco
Padraig
Pal
Palle
Pancho
Paolo
Parnell
Pascal
Pascoe
Pasha
Pasqual
Pasquale
Patricio
Patrick
Patrik
Patryk
Patterson
Patton
Paul
Pauli
Paulinus
Paulo
Pavel
Pawel
Pearl
Pentti
Peregrine
Perl
Pernelle
Perry
Petronius
Pippin
Pius
Placido
Placidus
Pollard
Polonius
Ponce
Pontius
Pontus
Porfirio
Porter
Poul
Prince
Proctor
Prospero
Publius
Quentin
Quest
Quincy
Ransu
Regis
Remus
Remy
Renato
Renatus
Rene
Renzo
Rex
Rogelio
Roman
Romano
Romeo
Romolo
Romulus
Ronnie
Ruby
Sage
Salvador
Salvatore
Sanchez
Sancho
Santino
Santos
Scipio
Sebastian
Sebastiano
Sebastiao
Sebestyen
Seneca
Seppo
September
Septimus
Sergei
Sergio
Severin
Severino
Severo
Seymour
Sidonius
Silas
Silvano
Silvanus
Silvester
Silvestr
Silvestro
Silvio
Soren
Sylvain
Sylvanus
Szilveszter
Tacitus
Tad
Talon
Tarquin
Tarquinius
Taylor
Temple
Terence
Tertius
Tiberius
Tibor
Tito
Titus
Tonio
Tony
Torrance
Tory
Trinidad
Tully
Urbain
Urban
Val
Vale
Valence
Valentin
Valentine
Valentino
Valerian
Valerio
Vali
Vavrinec
Ventura
Vicente
Vick
Victor
Vidal
Viktor
Vincenc
Vincent
Vinson
Virgil
Vit
Vitale
Vito
Vitus
Vivian
Walenty
