A-ga-pi-os
Ai-mi-li-os
A-ka-ki-os
A-le-kos
A-lex
A-le-xan-dros
A-le-xis
Al-ki-via-dis
A-nar-gy-ros
A-na-sta-si-os
An-dre-as
An-ge-los
A-ni-ke-tos
An-to-ni-os
An-to-nis
A-po-sto-lis
A-po-sto-los
Ar-gy-ris
A-ris
A-ri-stei-dis
A-ri-sti-dis
A-ri-sto-te-lis
A-tha-na-si-os
Ba-bis
Cha-ra-lam-bos
Cha-ra-lam-pos
Chri-sto-fo-ros
Chris-tos
Chry-san-thos
Da-niil
De-me-tri-os
Di-mi-tri-os
Di-mi-tris
Di-mos-the-nis
Di-o-ny-si-os
Do-ro-the-os
Ef-sta-thi-os
E-lef-the-ri-os
E-li-as
E-mi-li-os
Em-ma-nou-il
Er-mis
E-van-ge-los
Ev-ri-pi-dis
Fi-lip-pos
Fo-ti-os
Fo-tis
Gav-riil
Ge-or-gi-os
Ge-ra-si-mos
Gi-an-ni
Gi-an-nis
Gi-or-gos
Gri-go-ri-os
Gri-go-ris
Gus
Ha-ris
Ia-ko-vos
Ia-son
I-li-as
Io-an-nis
Io-sif
I-ra-klis
Ka-ro-los
Kon-stan-ti-nos
Kyri-a-kos
Lav-ren-ti-os
La-za-ros
Lef-te-ris
Le-o-ni-das
Lou-kas
Ma-ri-a
Ma-ri-nos
Ma-ri-os
Mar-kos
Mat-thai-os
Mi-chail
Mi-cha-lis
Mi-hail
Mi-ha-lis
Ne-o-fy-tos
Ni-co-la-os
Nik
Ni-ko-la-os
Ni-ko-las
Ni-kos
O-mi-ros
Pa-na-gio-ta-kis
Pa-na-gio-tis
Pa-na-yio-tis
Pa-nos
Pa-ra-ske-vas
Pas-cha-lis
Pav-los
Pe-ri-klis
Pe-tros
Pho-ti-os
Pla-ton
Pro-ko-pis
Ra-fail
Se-ra-feim
Se-ra-fim
Si-las
So-kra-tis
So-ti-ri-os
So-ti-ris
Spi-ri-don
Spi-ro
Spi-ros
Spy-ri-don
Spy-ro
Spy-ros
Sta-ma-ti-os
Sta-ma-tis
Sta-this
Stav-ros
Ste-fa-nos
Ste-li-os
Ste-pha-nos
Sty-lia-nos
Ta-kis
Tha-na-sis
Tha-nos
The-mis-to-klis
Theo-do-ros
Theo-fa-nis
Theo-fy-lak-tos
Tho-mas
Try-fon
Van-ge-lis
Va-si-lei-os
Va-si-li-os
Va-si-lis
Vas-si-lis
Ve-nia-min
Vis-sa-ri-on
Vla-sis
Vlas-sis
Yan-ni
Yan-nis
Yi-an-ni
Yi-an-nis
Yi-or-gos
Yor-gos
Za-cha-ri-as
Zi-non
