Ag-nel-la
Ag-ne-se
Ag-no-la
A-les-san-dra
A-na-sta-sia
An-dre-a
An-dreu-ola
An-ge-la
An-to-nia
Ban-dec-ca
Bar-to-la
Bar-to-lo-mea
Bel-la
Bel-lo-za
Bice
Bo-na
Buo-na
Ca-ta-li-na
Ca-te-rina
Cho-la
Ci-ci-lia
Cie-che-rella
Cio-sa
Ciu-ta
Cris-tin-a
Dea
Di-ana
Dol-ce
Dru-da
E-liz-a-beth
Fia-met-ta
Fi-lip-pa
Fi-ora
Flo-ra
Fran-ces-ca
Gem-ma
Ghin-ga
Ghi-ta
Gia-net-ta
Gi-li-a
Gi-nev-ra
Gi-o-van-na
Giu-li-an-a
Gos-tan-za
Gra-na
Isa-bet-ta
Ja-co-pa
Jo-an-na
La-gi-a
La-pa
Le-na
Le-o-nar-da
Let-ta
Li-ppa
Li-sa
Li-sa-bet-ta
Lo-ren-za
Lu-cia
Lu-cre-zia
Ma-de-le-na
Mag-da-le-na
Mar-ghe-ri-ta
Ma-ri-a
Mar-si-lia
Mar-tin-el-la
Ma-sin-a
Mea
Nan-na
Mel-la
Nen-ci-a
Ne-zet-ta
Ni-co-lo-sa
No-vel-la
Nuc-ca
Pas-qua
Pia
Pi-er-a
Pau-la
Ri-gar-da
Ri-guar-dat-ta
Sal-va-za
San-dra
San-ta
Se-re-na
Si-mo-na
Stel-la
Tad-de-a
Tes-sa
Ti-ta
To-ma-sia
Tom-ma-sa
Ver-on-cia
