Ag-no-men
Ne-med
Iar-bo-nel
Fai-dh
Be-o-tha-ch
I-o-bath
En-na
Ta-barn
Tat
Al-lai
In-dai
Or-da
Net
E-la-tha
E-tar-lam
E-sar
Brec
Del-bae-th
Dot
Bres
Eo-chaid
Di-an
Ce-cht
E-la-tha
Ba-lor
Nu-a-da
Elc-mar
Nech-tan
Cu
Ce-then
Ci-an
Mi-ach
Air-med
Dag-da
Fi-ach-a
Og-ma
Al-lod
Lir
Eth-niu
E-tar-lam
Ne-main
Bec-Fal-mas
Lugh
Cer-mait
Aen-gus
Bodb
Mi-dir
Bri-gid
Bo-ann
Tui-re-ann
Ma-nan-nan
Ern-mas
A-bean
Mac-Cuill
Mac-Cecht
Mac-Gre-ine
Fi-ach-a
Bri-an
Iu-char
Iu-char-ba
Do-nand
Goib-niu
Cred-ne
Luch-ta
Ol-lam
E-riu
Ban-ba
Ma-cha
Fod-la
Mor-ri-gan
A-nu
A-oi
A-bar-tach
Be-ag
Be-Chu-il-le
Bre-a
Fand
