A-dis,
Ad-mir,
Aj-din,
Al-bert,
Al-bin,
A-lek-ko,
A-le-ko,
A-lek-san-dar,
A-lek-san-der,
A-lek-san-dur,
A-lex-an-der,
Al-fonz,
A-lo-jz,
A-loj-zij,
An-djel-ko,
An-don,
An-drei,
An-drej,
An-dres,
An-drey,
An-dri-ja,
An-drik,
An-dro,
An-dry,
An-gel,
An-te,
An-to,
An-ton,
An-to-ne,
An-to-ni-je,
An-tun,
As-mir,
A-ta-nas,
Au-gus-tin,
Au-rel,
Av-gust,
Av-ram,
A-zem,
Bal-do,
Bane,
Bar-na-bá,
Bar-to-lo-mej,
Be-ne-dikt,
Ben-ja-mín,
Ber-dy,
Be-sim,
Be-tim,
Bla-go-je,
Blaz,
Bo-ban,
Bog-dan,
Bog-ol-jub,
Bo-go-mir,
Bo-jan,
Bo-ris,
Bo-ris-lav,
Bo-ris-law,
Bo-rut,
Bran-deis,
Bra-ni-mir,
Bra-ni-slav,
Bran-ko,
Bra-ti-slav,
Bru-no,
Bu-di-mir,
Ca-sar,
Ce-zar,
Ci-ril,
Cve-tko,
Cy-ril,
Da-li-bor,
Da-mek,
Da-mi-jan,
Da-mir,
Dam-jan,
Da-nail,
Da-nick,
Da-ni-jel,
Da-nil,
Da-ni-lo,
Dar-ko,
Da-vid,
Da-vor,
De-jan,
De-mi-an,
De-si-mir,
De-yan,
Di-mi-tar,
Di-mi-tr,
Din-ko,
Djor-dje,
Dju-ra,
Do-bri-ca,
Do-bro-slav,
Dol-fe,
Dol-fi,
Do-ma-goj,
Do-men,
Do-mi-nik,
Dra-gan,
Dra-gi-sa,
Dra-go,
Dra-gol-jub,
Dra-go-mir,
Dra-go-slav,
Dra-go-tin,
Dra-gu-tin,
Dra-ho-slav,
Dras-ko,
Dra-zan,
Du-brav-ko,
Du-san,
E-dik,
Ed-uard,
Ed-vard,
E-gon,
Ek-rem,
El-vir,
E-mil,
E-rik,
Er-nest,
Eu-gen,
Ev-ge-ni,
Fa-ruk,
Fe-him,
Fe-liks,
Fe-lix,
Fe-o-dor,
Fi-lip,
Fo-ma,
Franc,
Fran-ci-sek,
Fran-jo,
Fran-tz,
Gav-ril,
Gav-ri-lo,
Ge-de-on,
Ge-org,
Ge-or-gi,
Gi-de-on,
Go-ran,
Gra-di-mir,
Gr-gur,
Gri-goi,
Gri-gor,
Gri-go-ri,
Gri-go-ri-je,
Gvoz-den,
Ha-ris,
Ha-vel,
Ha-wel,
Hen-ri,
Hen-rik,
Hen-rim,
Hris-to,
Hrvo-je,
Ig-nac,
I-gor,
I-kov,
I-li-ja,
I-li-ya,
Ioan,
Io-sif,
I-sak,
Is-kren,
Iu-stin,
I-van,
I-vi-ca,
I-zet,
Ja-dran-ko,
Ja-kov,
Ja-kub,
Jan,
Ja-nez,
Jan-ko,
Ja-ro-slav,
Ja-chy-m,
Jan,
Jer-nej,
Jer-ney,
Jez-di-mir,
Ji-ri,
Jon-co,
Jo-sep,
Jo-sif,
Jo-sip,
Jo-van,
Jo-vi-ca,
Jo-ze,
Jo-zef,
Jo-zhe,
Jo-zhef,
Jo-zo,
Ju-raj,
Ju-ri,
Kai-ser,
Ka-lo-yan,
Ka-mil,
Ka-rel,
Karl,
Ka-zi-mir,
Kir,
Ki-ril,
Kle-men,
Kle-ment,
Kli-ment,
Kon-rad,
Kon-stan-tin,
Kor-nel,
Kor-ne-li-je,
Kos-ta,
Kos-ta-din,
Kre-si-mir,
Kre-so,
Kris-pin,
Kris-ti-jan,
Krist-jan,
La-di-slav,
La-zar,
Le-xo,
Li-rim,
Lju-ba,
Lju-bo-drag,
Lju-bo-mir,
Lu-bo-mir,
Lu-bos,
Lyu-bo-mir,
Ma-rek,
Ma-ri-an,
Ma-ri-jan,
Ma-ri-jo,
Ma-rin,
Mar-jan,
Mar-ko,
Mar-tin,
Ma-tai,
Ma-tei,
Ma-tej,
Ma-te-ja,
Ma-ti-ja,
Me-tod,
Mi-chal,
Mi-hael,
Mi-hail,
Mi-hai-lo,
Mi-haj-lo,
Mi-ho,
Mi-ho-vil,
Mi-jo,
Mi-khail,
Mi-la-din,
Mi-lan,
Mile,
Mi-len-ko,
Mi-lo,
Mi-lo-rad,
Mi-los,
Mi-lo-van,
Mi-lu-tin,
Mio-drag,
Mir-co,
Mir-ko,
Mir-nes,
Mi-ro,
Mi-ro-ljub,
Mi-ro-slavo,
Mi-ro-slaw,
Mi-sail,
Mi-tar,
Mla-den,
Moi-sei,
Mo-re-no,
Mu-jo,
Naum,
Ne-boj-sa,
Ne-man-ja,
Ne-nad,
Ne-ro,
Ne-ron,
Ni-ki-ta,
Ni-ko,
Ni-ko-la,
Ni-ko-las,
No-ah,
Noi,
No-vak,
O-lex-ei,
On-drej,
O-rest,
O-to,
Pa-vel,
Pav-le,
Pe-ro,
Pe-tar,
Pe-tr,
Pi-o-tr,
Pre-drag,
Ra-di-sa,
Ra-di-vo-je,
Rad-ko,
Rad-mi-lo,
Ra-do-je,
Ra-do-man,
Ra-do-mil,
Ra-do-mir,
Ra-do-slav,
Ra-do-van,
Raj-ko,
Rast-ko,
Rat-ko,
Ray-ko,
Ray-no,
Re-ne,
Ris-to,
Ro-ko,
Ro-man,
Ro-meo,
Ru-ben,
Rude,
Ru-di,
Ru-rik,
Sa-lem,
Sa-lo-mon,
Sa-muil,
San-der,
Sa-sa,
Sead,
Se-mir,
Se-ra-fin,
Ser-gei,
Ser-gey,
Se-ve-rin,
Sil-van,
Si-me-on,
Si-ni-sa,
Slav-ko,
Slav-o-Slobodan,
So-lo-mon,
Spi-ri-don,
Spi-ro,
Sr-ba,
Sr-bo-ljub,
Stane,
Sta-ni-slav,
Stan-ko,
Ste-fan,
Ste-pan,
Stje-pan,
Stra-hi-nja,
Ta-d-eas,
Ta-dej,
Teo-dor,
Tes-la,
Ti-ho-mir,
Ti-mo-tei,
Ti-to,
To-dor,
To-ma,
To-mi-slav,
Tone,
To-ni,
To-pli-ca,
Tri-fon,
Va-sil,
Va-si-li-je,
Va-syl,
Vel-cho,
Ve-li-bor,
Ve-lich-ko,
Ve-li-ko,
Ve-li-mir,
Ve-lin,
Vel-yo,
Ve-nia-min,
Ve-se-lin,
Vid,
Vik-tor,
Vil-helm,
Vil-ko,
Vit,
Vla-dan,
Vla-di-mir,
Vla-di-slav,
Vlas-ta,
Vlas-ti-mir,
Vo-jin,
Vo-ji-slav,
Voj-tech,
Vuk,
Ya-kov,
Yan,
Yan-ko,
Yoa-kim,
Yoan,
Yor-dan,
Yo-sif,
Zan-der,
Zdrav-ko,
Zi-ga,
Zla-tan,
Zlat-ko,
Zo-ran,
Zvo-ni-mir,
Zvon-ko
