A-dri-ana
A-dri-ja-na
A-fro-di-ta
A-ga-ta
Ag-nes-sa
Aj-la
Al-bi-na
Al-bi-na
A-lek-ko
A-lek-san-dra
A-lek-sey
A-lek-si
A-le-na
A-len-ka
A-le-xan-dra
A-li-ca
A-li-sa
A-loj-zia
A-loj-zi-ja
A-ma-li-ja
A-ma-lia
A-na
A-na-sta-si-ya
A-na-sta-zia
An-de-la
And-je-la
And-je-li-ja
And-jel-ka
An-dre-a
An-dri-ja-na
An-ge-la
An-ge-li-na
A-ni-ca
A-ni-ta
An-ka
An-ki-ca
An-na
An-to-nia
A-po-le-na
A-po-lo-ni-ja
Bar-ba-ra
Bar-bo-ra
Ba-si-a
Bea-ta
Ber-ta
Bil-ja-na
Bil-ya-na
Bi-ser-ka
Blan-ka
Bo-ba
Bog-da-na
Bog-dan-ka
Bo-ja-na
Bo-ri-sla-va
Bor-ka
Bo-ya-na
Bo-zi-ca
Bra-nis-la-va
Bran-ka
Bra-ti-sla-va
Bri-gi-ta
Ce-ci-li-ja
Ce-ci-lia
Cil-ka
Ci-ri-la
Cve-ta
Cve-ta-na
Da-fi-na
Da-li-bor-ka
Da-mi-ja-na
Da-na
Da-ni-ca
Da-ni-je-la
Da-ni-ka
Da-ni-la
Da-ni-tza
Da-ri-na
Dar-ja
De-ja-na
De-ni-sa
De-san-ka
De-vo-ra
Di-ja-na
Div-na
Djur-dji-na
Do-bri-la
Do-mi-ni-ka
Do-ro-ta
Do-ro-te-ja
Dra-ga
Dra-ga-na
Dra-gi-ca
Dra-go-mi-ra
Dra-go-sla-va
Du-brav-ka
Dun-ja
E-di-ta
E-le-na
E-li-sa-ve-ta
E-lis-ve-ta
E-li-za-be-ta
El-za
E-ma
E-mi-li-ia
E-mi-li-ja
E-mi-li-ya
E-mi-lia
E-ri-ka
Es-ter
Es-te-ra
E-va
E-van-ge-li-na
Ev-do-ki-ya
Ev-ge-ni-ja
Ev-ge-ni-ya
Fi-dan-ka
Fi-li-pa
Fi-lo-me-na
Fran-cis-ka
Franc-ka
Frey-ra
Ga-la
Ga-li-na
Gi-ta
Gor-da-na
Groz-da-na
Ha-na
Hed-vi-ga
Hed-vi-ka
Hris-ti-na
Il-ka
I-o-an-a
I-re-na
I-va
I-va-na
I-van-ka
Ja-dran-ka
Ja-na
Ja-ni-a
Ja-ni-ka
Ja-ros-la-va
Jas-mi-na
Jas-min-ka
Jas-na
Je-la
Je-li-ca
Je-li-sa-ve-ta
Je-si-ca
Joh-na
Jo-la-na
Jo-lan-da
Jor-dan-ka
Jo-va-na
Jo-van-ka
Ju-di-ta
Ju-la
Ju-li-an-a
Ju-li-ja
Ju-li-ja-na
Ka-je-ta-na
Ka-li-na
Ka-mi-la
Ka-rol
Ka-ro-li-na
Ka-ro-line
Ka-roll
Ka-te-ri-na
Ka-te-rine
Ka-ti-ca
Kla-ra
Kla-ri-ka
Klau-di-a
Klau-di-ja
Klav-di-ja
Kse-ni-ja
Ku-ni-gun-da
La-di-sla-va
La-ra
Lej-la
Le-pa
Le-po-sa-va
Li-bu-sa
Li-di-ja
Li-li-ja-na
Li-li-ya
Lil-ja-na
Li-ly-an-a
Ljil-ja-na
Lju-ba
Lju-bi-ca
Lju-bin-ka
Lo-ra
Lu-ba
Lu-bi-an-a
Lu-ci
Lu-ci-ja
Lu-ci-ka
Lu-cine
Luc-ka
Lu-ka
Lyu-ba
Mag-da-le-na
Ma-ja
Ma-ra
Mar-ga-re-ta
Mar-ga-re-tha
Ma-ri-a
Ma-ri-an-na
Ma-ri-ja
Ma-ri-jan
Ma-ri-ja-na
Ma-ri-ka
Ma-ri-na
Ma-ris-ka
Ma-ri-ya
Mar-ja-na
Mar-ke-ta
Mas-cha
Ma-tea
Ma-ri-a
Me-le-na
Mi-chae-la
Mi-chal
Mi-la
Mi-la-na
Mi-le-na
Mi-len-ka
Mi-le-va
Mi-li-ca
Mi-mo-za
Mi-ra
Mir-ja-na
Mir-ka
Mir-na
Mi-ro-sla-va
Mi-ro-sla-wa
Mir-sa-da
Mi-scha
Mo-ni-ka
Na-da
Na-dej-da
Na-dezh-da
Na-din
Nai-da
Na-ta
Na-tal-ya
Na-ta-sa
Ne-da
Ne-la
Ne-ve-na
Ne-ven-ka
Ne-za
Ni-ko-li-na
Ni-na
O-les-ja
Ol-ga
O-li-ve-ra
On-drea
Pau-li-na
Pe-re
Per-la
Pe-tri-ja
Ra-din-ka
Rad-ka
Rad-mi-la
Rad-mil-la
Ra-do-mi-la
Ra-do-sla-va
Ra-hil
Rai-na
Rat-ka
Ra-ya
Ray-na
Re-ne-ta
Re-ve-ca
Re-ve-ka
Ro-ma-na
Ro-sit-sa
Ro-za
Ro-za-li-ja
Sa-bi-na
San-der
Sa-ne-la
Se-li-ma
Sel-ma
Se-ra-fi-na
Se-ve-ri-na
Sil-vi-ja
Si-mo-ni-da
Si-ni-sa
Sla-dja-na
Sla-ven-ka
Sla-vi-ca
Slav-ka
Slo-bo-dan-ka
Smil-ja-na
Sne-za-na
So-fi-ja
So-ni-ca
Son-ja
Son-ya
Spo-men-ka
Srbi-jan-ka
Sta-na
Sta-ni-sla-va
Su-za-na
Svet-la-na
Ta-ma-ra
Ta-ni-a
Ta-nis
Tan-ja
Tas-ya
Ta-ti-an-a
Tat-ja-na
Te-a
Teo-do-ra
Te-re-za
Tes-sla
Ti-ja-na
Ti-na
Tja-sa
To-dor-ka
Va-len-ti-na
Va-le-ri-ja
Van-da
Va-nia
Va-ri-na
Var-va-ra
Va-sil-ka
Ve-ra
Ve-ri-ca
Ves-na
Ve-ta
Vi-da
Vi-ka
Vi-ki
Vik-to-ri-a
Vik-to-ri-ja
Vio-le-ta
Vla-di-sla-va
Vla-sta
Vla-tka
Wa-va
Ya-na
Ya-ri-na
Yo-an-a
Yor-da-na
Yu-la
Yu-li-ana
Yva-na
Za-gor-ka
Za-ha-ri-na
Za-ra
Zha-na
Zhane
Zla-ta
Zo-fi-a
Zo-ra
Zo-ra-na
Zo-ri-ca
Zo-ya
Zvez-da-na
