A-fro-di-ti
A-gape
A-ga-the
Ag-la-ia
Ai-ka-te-ri-ni
A-le-ka
A-lex
A-lex-an-dra
A-le-xis
A-li-ki
A-ma-lia
A-na-sta-sia
An-dri-a-na
An-ge-li-ki
An-na
An-to-ni-a
Ar-te-mis
A-tha-na-sia
A-thi-na
Av-ra
Cha-ra
Chris-ti-na
Chry-san-thi
Chrys-sa
Daf-ni
Da-nai
De-me-tra
De-mi
De-spi-na
De-spoi-na
Dia-man-ti-na
Dia-man-to
Di-mi-tra
Do-ra
E-fi-mia
E-fro-sy-ni
Ef-tha-lia
Ef-thy-mia
Ef-ty-chi-a
Ei-ri-ni
E-ka-te-ri-ni
E-lef-the-ria
E-le-na
E-le-ni
E-leo-no-ra
E-li-sa-vet
El-li
El-pi-da
E-va
E-van-ge-lia
Ev-do-kia
Ev-ge-nia
E-vi
Ev-ri-di-ki
Fi-lip-pa
Fo-tei-ni
Fo-ti-ni
Ge-or-gia
Gi-an-na
Gly-ke-ria
Ha-ris
I-li-a-na
Io-an-na
I-ri-da
I-ri-ni
I-ris
I-ro
Is-mi-ni
Kai-ti
Ka-te-ri-na
Ka-ti-na
Ke-ti
Ki-ki
Kon-stan-ti-na
Ko-ra-lia
Ko-ri-na
Ky-ri-a-ke
Ky-ri-a-ki
Ky-ve-li
Le-na
Li-a
Lo-ui-za
Mag-da
Mag-da-li-ni
Mar-ga-ri-ta
Ma-ria
Ma-ri-an-na
Ma-ri-et-ta
Ma-ri-ka
Ma-ri-na
Mar-tha
Me-li-na
Mel-po-me-ni
Myr-to
Na-na
Na-ta-lia
Na-ta-sa
Ne-fe-li
Ni-ki
Ni-ko-le-ta
Ni-ko-let-ta
No-mi-ki
Ol-ga
O-lym-pia
Pa-na-gi-o-ta
Pa-ra-ske-vi
Pa-ra-ske-vou-la
Pav-li-na
Pe-la-gia
Per-se-fo-ni
Pe-trou-la
Po-li-na
Po-ly-xe-ni
Sa-ra
Se-le-ne
Si-byl-la
So-fia
So-phi-a
So-ti-ria
Spy-ri-dou-la
Sta-ma-tia
Sta-vrou-la
Stel-la
Sty-li-a-ni
Ta-sia
Ta-sou-la
Ta-ti-a-na
Tha-lia
The-kla
Theo-do-ra
Theo-do-sia
Theo-fa-nia
Ti-mo-thea
Va-len-ti-na
Var-va-ra
Va-sia
Va-si-li-ki
Va-so
Vas-si-li-ki
Vas-so
Vou-la
Xan-thip-pi
Xe-ne
Xe-nia
Yan-na
Ze-no-via
Zi-no-via
Zo-i
