Abele
Abramo
Achille
Adalberto
Adamo
Adelardo
Ademaro
Adolfo
Adriano
Agapito
Agostino
Albano
Alberico
Alberto
Albino
Alcide
Aldo
Ale 
Alessandro
Alessio
Alex
Alfeo
Alfonso
Alfredo
Aloisio
Alonzo
Alvise
Amadeo
Amando
Amato
Amatore
Ambrogino
Ambrogio
Amedeo
Amerigo
Amilcare
Amore
Ampelio
Anacleto
Anastasio
Andrea 
Andria
Angelino
Angelo
Angiolo
Annibale
Annunziato
Ansaldo
Anselmo
Antelmo
Antonello
Antonino
Antonio
Arcangelo
Ardito
Arduino
Aristide
Armando
Arnaldo
Arnolfo
Aroldo
Arrigo
Arsenio
Artemio
Arturo
Attilio
Augusto
Aureliano
Aurelio
Balbino
Baldassare
Baldo
Baldovino
Bartolo
Bartolomeo
Basilio
Battista
Benedetto
Beniamino
Benigno
Benito
Benvenuto
Beppe
Berardo
Bernardino
Bernardo
Berto
Bertoldo
Bertrando
Bettino
Biaggio
Biagino
Biagio
Bonaccorso
Bonaventura
Bonifacio
Bruno
Callisto 
Calogero
Camillo
Carlo
Carmelo
Carmine
Casimiro
Cecilio
Celeste
Celestino
Celino
Celio
Celso
Cesare
Cesarino
Cipriano
Ciriaco
Cirillo
Cirino
Ciro
Claudio
Clemente
Cleto
Colombano
Colombo
Concetto
Cornelio
Corradino
Corrado
Cosimo
Cosma
Costantino
Costanzo
Crescenzo
Cristiano
Cristoforo
Damiano
Daniele
Danilo
Dante
Dario
Davide
Demetrio
Desiderio
Dino
Diodato
Dionisio
Domenico
Donatello
Donato
Doriano
Duilio
Durante
Edgardo
Edmondo
Edoardo
Efisio
Egidio
Eleuterio
Elia
Eligio
Elio
Eliodoro
Eliseo
Elmo
Elpidio
Emanuele
Emidio
Emiliano
Emilio
Ennio
Enrico
Enzo
Epifanio
Erasmo
Ercole
Ermacora
Ermanno
Ermenegildo
Ermes
Ermete
Erminio
Ernesto
Ettore
Eugenio
Eusebio
Eustachio
Eustorgio
Eutimio
Evaristo
Ezio
Fabiano
Fabio
Fabrizio
Faustino
Fausto
Fedele
Federico
Federigo
Felice
Feliciano
Ferdinando
Ferruccio
Filiberto
Filippo
Fiore
Fiorenzo
Fiorino
Firmino
Flaviano
Flavio
Floriano
Floro
Fortunato
Francesco
Franco 
Frantziscu
Frediano
Fredo
Fulgenzio
Fulvio
Gabriele 
Gaetano
Gallo
Gaspare
Gasparo
Gastone
Gavino
Gennarino
Gennaro
Gerardo
Germano
Gerolamo
Gervasio
Gherardo
Giacinto
Giacobbe
Giacomo
Giambattista
Giampaolo
Giampiero
Gian
Giancarlo
Gianfranco
Gianluca
Gianluigi
Gianmarco
Gianmaria
Gianni
Giannino
Gianpaolo
Gianpiero
Gilberto
Gino
Gioacchino
Gioachino
Gioele
Giona
Gionata
Giordano
Giorgino
Giorgio
Giosuè
Giotto
Giovanni
Giraldo
Girolamo
Giuanne
Giuliano
Giulio
Giuseppe
Giustino
Glauco
Goffredo
Graziano
Gregorio
Gualtiero
Guerino
Guglielmo
Guido
Gustavo
Iacopo
Ignazio
Ignàtziu
Ilario
Innocenzo
Ippolito
Isaia
Isidoro
Italo
Ivan
Ivano
Ivo 
Jacopo
Juanne
Ladislao
Lamberto
Lando
Lapo
Lauro
Lazzaro
Leandro
Lelio
Leonardo
Leone 
Leonida
Leonzio
Leopoldo
Liberatore
Liborio
Lino
Livio
Lodovico
Lorenzo
Loreto
Loris
Lotario
Luca 
Luciano
Lucilio
Lucio
Ludovico
Luigi
Luigino
Manfredo
Manlio
Manuel
Manuele
Marcellino
Marcello
Marciano
Marco
Maria
Mariano
Marino
Mario
Martino
Marzio
Massimiliano
Massimo
Matteo
Mattia
Maurizio
Mauro
Melchiorre
Mercurio
Michelangelo
Michele 
Mirko
Modesto
Màriu
Naldo
Napoleone
Narciso
Natale
Natanaele
Nazario
Nazzareno
Nerio
Nero 
Nestore
Nevio
Niccolò
Nico
Nicodemo
Nicola 
Nicolao
Nicolò
Nicomede
Nicostrato
Nino 
Norberto
Noè
Nunzio
Oddo
Oliviero
Onofrio
Orazio
Orfeo
Orlando
Orsino
Orso
Oscar
Osvaldo
Ottaviano
Ottavio
Ottone
Ottorino
Ovidio
Palmiro
Pancrazio
Panfilo
Pantaleone
Paolino
Paolo
Paride
Pasquale
Pasqualino
Patrizio
Pedru
Pellegrino
Peppe
Peppi
Peppino
Pier
Pierino
Piero
Pietro
Pino
Pio
Placido
Plinio
Pompeo
Ponzio
Porfirio
Primo
Prospero
Prudenzio
Pàulu
Quintino
Quinto
Quirino
Raffaele
Raffaello
Raimondo
Raniero
Raoul
Raul
Remigio
Remo
Renato
Renzo
Riccardo
Rico 
Rinaldo
Rino
Roberto
Rocco
Rodolfo
Rodrigo
Rolando
Romano
Romeo
Romilda
Romolo
Rosario
Rufino
Ruggero
Ruggiero
Sabino
Salvatore
Samuele
Sandro
Sansone
Santino
Santo
Saturnino
Saverio
Savino
Savio
Scevola
Sebastiano
Serafino
Sergio
Sesto
Settimio
Settimo
Severiano
Severino
Severo
Sigfrido
Silvano
Silvestro
Silvio
Simone 
Sisto
Stefano
Tacito
Taddeo
Tammaro
Tancredi
Teo
Teobaldo
Teodoro
Teodosio
Teofilo
Terenzio
Terzo
Timoteo
Tino
Tito
Tiziano
Tommaso
Tonino
Tonio
Tore 
Tullio
Uberto
Ugo
Ulderico
Ulisse
Umberto
Urbano
Valente
Valentino
Valerio
Valter
Vanni
Vasco
Venceslao
Vespasiano
Vico
Vilfredo
Vincente
Vincenzo
Vinicio
Virgilio
Vissente
Vitale
Vito
Vittore
Vittorino
Vittorio
Walter
Zeno
Ànghelu
