Ag-no-lo
A-gos-ti-no
Al-fon-so
A-les-san-dro
A-les-sio
An-dre-a
Ben-ve-nu-to
Bor-so
Car-lo
Co-si-mo
Cris-to-fo-ro
Dan-ie-le
Do-men-i-co
Er-co-le
Fe-der-i-go
Fi-li-ppo
Fi-o-ren-ti-no
Fran-ces-co
Ga-le-a-zzo
Gas-pa-ro
Gi-an-fran-ces-co
Gior-gio
Gi-o-tto
Gi-o-va-nni
Giu-lio
Giu-se-ppe
Gui-do-bal-do
Ja-co-po
Le-o-nar-do
Le-o-nel-lo
Lo-ren-zo
Lu-do-vi-co
Mar-si-li-o
Ma-tte-o
Ni-cco-lo
Ot-tav-io
Pa-o-lo
Pi-er-an-dre-a
Pi-er-o
Pie-tro
Pros-per-o
Si-gis-mon-do
U-li-sse
