Ada
Adelaide
Adele
Adelina
Adriana
Agata
Agnese
Agostina
Alba 
Alberta
Albertina
Albina
Alda 
Ale 
Alessa
Alessandra
Alessia
Alex
Alexandra
Alfonsina
Alfreda
Alice
Alina
Allegra
Alma 
Amalia
Amanda
Amaranta
Ambra
Amedea
Amelia
Amore
Anastasia
Andreina
Angela
Angelica
Angelina
Anna
Annabella
Annalisa
Annamaria
Annetta
Annunciata
Annunziata
Anselma
Antonella
Antonia
Antonietta
Antonina
Apollonia
Arianna
Armida
Asia 
Assunta
Augusta
Aurelia
Aureliana
Aurora
Azzurra
Balbina
Barbara
Beatrice
Benedetta
Benigna
Berenice
Bernardetta
Bernardina
Berta
Bettina 
Bianca
Bibiana
Bice
Brigida
Bruna
Brunella
Brunilda
Caderina
Calogera
Camilla
Carla
Carlotta
Carmela
Carmen
Carmina
Carola
Carolina
Cassandra
Caterina
Catia
Cecilia
Celeste
Celestina
Cesarina
Chiara
Chiarina
Cinzia
Clara
Claretta
Clarissa
Claudia
Clelia
Clementina
Clio
Cloe
Clotilde
Colomba
Colombina
Concetta
Concettina
Consolata
Cornelia
Corona
Cosima
Cristiana
Cristina
Crocetta
Crocifissa
Dafne
Damiana
Dania 
Daniela
Daria
Debora
Delfina
Delia 
Demetra
Desideria
Diana
Dina 
Dionisia
Domenica
Domitilla
Donata
Donatella
Dora
Doretta
Dorotea
Edda 
Edmonda
Edvige
Elda
Elena
Elene
Eleonora
Elettra
Eliana 
Elisa
Elisabetta
Eloisa
Elsa
Elvira
Emanuela
Emilia
Emiliana
Emma
Enrica
Erica
Erika
Ermelinda
Ermenegilda
Erminia
Ernesta
Ernestina
Ersilia
Ester
Eufemia
Eugenia
Eulalia
Eva
Evelina
Fabia
Fabiana
Fabiola
Fabrizia
Fausta
Faustina
Febe
Federica
Feliciana
Felicita
Ferdinanda
Fernanda
Fiammetta
Filippa
Filomena
Fina
Fioralba
Fiore
Fiorella
Fiorenza
Flavia
Flaviana
Flora
Floriana
Fortunata
Franca
Francesca
Frantzisca
Fulvia
Gabriella
Gaetana
Gaia
Gelsomina
Geltrude
Gemma
Genoveffa
Gerarda
Germana
Gessica
Gia
Giacinta
Giacoma
Giacomina
Giada
Gianna
Giannina
Gilberta
Gilda
Gina
Ginevra
Gioconda
Gioia
Giorgia
Giorgina
Giosetta
Giovanna
Giovannetta
Gisella
Giuanna
Giuditta
Giulia
Giuliana
Giulietta
Giuseppa
Giuseppina
Giustina
Gloria
Grazia
Graziana
Graziella
Ida
Ilaria
Ilda
Ileana
Imelda
Imma
Immacolata
Ines
Iolanda
Irene
Irma
Isa 
Isabella
Isidora
Isotta
Itala
Italia
Jessica
Jolanda
Katia
Katiuscia
Lara 
Laura
Lauretta
Leandra
Lelia
Lena
Leonarda
Leonora
Leontina
Letizia
Lia 
Liana
Liboria
Lidia
Lilia
Liliana
Lina 
Linda
Lisa
Livia 
Liviana
Lora
Loredana
Lorena 
Lorenza
Loreta
Loreto
Loretta
Lorita
Luana
Luce
Lucia
Luciana
Lucilla
Lucrezia
Ludovica
Luigia
Luigina
Luisa
Luisella
Luna
Maddalena
Mafalda
Manuela
Marcella
Margherita
Maria
Mariangela
Marianna
Mariella
Marietta
Marilena
Marina
Marinella
Marisa
Maristella
Marta
Martina
Marzia
Matilde
Mattea
Maura 
Melania
Micaela
Michela
Michelangela
Michelina
Milena
Mimi
Mirabella
Mirella
Mirta
Monica
Nadia 
Narcisa
Natalia
Nella
Nerina
Nicoletta
Nicolina
Nina 
Nives
Noemi
Nora
Norina
Norma
Nunzia
Nunziatina
Ofelia
Olga
Olimpia
Olivia
Ondina
Oria
Oriana
Orlanda
Ornella
Orsina
Orsola
Osanna
Ottavia
Palmira
Paola
Paolina
Pasqualina
Patrizia
Perla
Perlita
Petronilla
Pia
Piera
Pierina
Pietra
Pietrina
Pina
Placida
Polissena
Priscilla
Pàula
Rachele
Raffaella
Raimonda
Rebecca
Regina
Renata
Riccarda
Rina 
Rita
Roberta
Robertina
Romana
Romilda
Romina
Romola
Rosa 
Rosalba
Rosalia
Rosalinda
Rosangela
Rosanna
Rosaria
Rosario
Rosella
Rosetta
Rosina
Rossa
Rossana
Rossella
Rubina
Sabina
Sabrina
Salomè
Salvatrice
Samanta
Samantha
Samuela
Sandra
Santa
Santina
Santuzza
Sara
Saveria
Savina
Scilla
Sebastiana
Selvaggia
Serafina
Serena
Severina
Sibilla
Silvana
Silvestra
Silvia
Simona
Simonetta
Sofia
Sonia
Stefania
Stella 
Susanna
Sveva
Taide
Tamara
Tania
Tatiana
Tecla
Teodora
Teofila
Teresa
Tina
Tiziana
Tonina
Tullia
Urbana
Valentina
Valeria
Vanda
Vanessa
Vanna 
Velia
Vera 
Veronica
Vincenza
Viola
Violante
Violetta
Virginia
Vissenta
Vita
Vitalia
Vittoria
Viviana
Zaira
Zita 
Zoe
Ànghela
