Aodh,
Aed,
Aart,
Aa-ta,
Abb-an,
Abh-lach,
Ach-ai-us,
A-dan,
A-den,
Ad-ham-hnan,
A-die,
A-din,
A-dom-nan,
Ae-dan,
Aed-ann,
Aed-an,
Aed-dan,
Aed-enn,
Ae-din,
Ae-dus,
Ae-dyn,
Ae-neas,
Aen-gus,
Ae-ron,
A-he-arn,
A-hern,
Aid,
Ai-dan,
Ai-dann,
Ai-da-no,
Ai-den,
Ai-denn,
Ai-deyn,
Ai-din,
Ai-dyn,
Ai-lan,
Ail-be,
Ail-bhe,
Ai-lean,
Ai-lill,
Ai-lin,
Ai-lín,
Al,
A-laen,
A-lain,
A-lan,
A-land,
A-lan-do,
A-lane,
A-la-ni,
A-lann,
A-la-no,
A-lan-son,
A-lan-te,
A-lao,
A-lan,
Al-be-on,
Al-bert,
Al-bi-on,
Al-bio-ni,
Al-bon,
Al-by,
Al-b-yon,
Al-da-no,
Al-di-no,
A-len,
A-lin,
Al-lean,
Al-lain,
Al-lan,
Al-layne,
Al-len,
Al-ley,
Al-leyn,
Al-leyne,
Al-lie,
Al-lin,
Al-lon,
Al-lyn,
A-lon,
A-lun,
A-lu-ne,
A-lyn,
A-lyne,
A-lynn,
A-nei-rin,
A-nei-slis,
A-nei-slys,
A-neu-rin,
An-gie,
An-gus,
An-tha-na-sios,
Ao-dan,
Ao-dan,
Ao-den,
Ao-dh,
Ao-dha-gan,
Ao-dha-gan,
Ao-dha-igh,
Ao-dhan,
Ao-dhan,
Ao-dh-fin,
Ao-dh-fionn,
Ao-gan,
Aon-ghas,
Aon-ghus,
A-ra-na,
A-re,
Ar-gile,
Ar-giles,
Ar-gyle,
Ar-gyles,
Ar-gyll,
Ar-mel,
Ar-rt,
Art,
Ar-tair,
Ar-tan,
Ar-te,
Ar-tek,
Ar-th,
Ar-thel,
Ar-ther,
Ar-thor,
Ar-thos,
Ar-thur,
Ar-thur-o,
Ar-thus,
Ar-thyr,
Ar-tie,
Ar-tis,
Ar-to,
Ar-tor,
Ar-tro,
Ar-ttu-ri,
Ar-tur,
Ar-tu-ras,
Ar-tu-ro,
Ar-tus,
Ar-ty,
Ar-zhur,
At-hal,
At-hel,
At-hil,
At-hol,
At-holl,
At-hol-ton,
At-ze,
Aur-th-er,
Aur-thur,
A-van,
A-ven,
A-vin,
A-von,
A-vun,
A-vyn,
Ay-dan,
Ay-dann,
Ay-den,
Ay-denn,
Ay-din,
A-dha-mhna-n,
Ba-erd,
Bae-rde,
Bae-rn,
Bai-rne,
Bai-rre,
Bal-fer,
Bal-fore,
Bal-four,
Ball-fer,
Ball-for,
Ball-fore,
Ball-four,
Ban-bhan,
Ban-noc,
Ban-noch,
Ban-nock,
Ban-nok,
Bao-thgha-lach,
Bar,
Ba-rd,
Bar-de,
Ba-ree,
Ba-rey,
Ba-ri,
Ba-rie,
Ba-ris,
B-arr,
Bar-ra,
Bar-rea,
Bar-ree,
Bar-rey,
Bar-ri,
Bar-rie,
Bar-ring-ten,
Bar-ring-ton,
Bar-ring-tun,
Bar-ry,
Bar-ryng-ten,
Bar-ryng-ton,
Bar-ryng-tun,
Ba-ry,
Bas,
Ba-yerd,
Bay-rde,
Bay-rn,
Bay-rne,
Baz,
Baz-za,
Bea-can,
Bea-n,
Bea-than,
Be-hel-lagh,
Bel,
Be-le-nus,
Be-li,
Beo-lagh,
Be-ra-co,
Ber-ry,
Bi-le,
Bog-dan,
Boh-dan,
Bow,
Bo-wan,
Bo-we,
Bo-wen,
Bo-wie,
Bo-win,
Bo-won,
Bo-wun,
Bo-wyn,
Brad,
Bra-dan,
Brad-dan,
Brad-den,
Brad-din,
Brad-don,
Brad-dyn,
Bra-de,
Bra-dea,
Bra-dee,
Bra-den,
Bra-dene,
Bra-deon,
Bra-dey,
Bra-di,
Bra-die,
Bra-din,
Bra-dm,
Bra-don,
Bra-dun,
Bra-dy,
Bra-dye,
Bra-dyn,
Brae-dan,
Brae-dea,
Brae-dee,
Brae-den,
Brae-dey,
Brae-di,
Brae-die,
Brae-din,
Brae-don,
Brae-dy,
Brae-dyn,
Brai-dan,
Brai-dea,
Brai-dee,
Brai-den,
Brai-dey,
Brai-di,
Brai-die,
Brai-din,
Brai-don,
Brai-dy,
Brai-dyn,
Brain,
Bran-den,
Bran-don,
Bran-non,
Bra-non,
Brao-nan,
Bray,
Bray-dan,
Bray-dae,
Bray-dee,
Bray-den,
Bray-dey,
Bray-di,
Bray-die,
Bray-din,
Bray-don,
Bray-dun,
Bray-dy,
Bray-dyn,
Bray-len,
Brean-dan,
