A-chil-les
Ae-geus
Ae-neas
Ae-sop
A-ga-mem-non
Ain-dre-a
A-jax
A-la-stair
A-le
A-lec
A-lei-xo
A-le-jan-dro
A-lek-san-der
A-lek-san-te-ri
A-lek-sy
Ales
A-les-san-dro
A-lex
A-le-xan-der
A-le-xan-dro
A-lex-ei
A-lex-is
Al-fi-o
A-li-ka
A-li-staire
Al-yo-sha
Am-bro-gi-o
Am-broos
Am-brose
Am-bro-sio
Am-brus
A-na-sta-ci-o
A-na-to-li
A-na-to-lio
An-del
An-der
An-ders
An-der-son
An-dras
An-dre
An-dre-as
An-drei
An-dres
An-drew
An-dries
An-dris
An-dro-ni-cus
An-dr-zej
An-dy
Ange
An-gel
An-ge-lo
A-niel-lo
An-son
An-te-ro
An-tre-as
A-pol-lo
A-po-lo-nio
A-qua-ri-us
A-ras-too
Ar-che-la-us
Ar-chi-me-des
A-res
Ar-gos
Ar-gus
A-ries
A-ri-stide
A-ri-sti-des
A-ri-sto-pha-nes
A-ri-sto-tle
Ar-sen
Ar-sene
Ar-se-nio
Ar-te-mas
Art-yom
At-las
A-tre-o
At-ti-cus
Bac-chus
Ban-di
Bap-tist
Bap-tiste
Bart
Bar-tho-lo-mew
Bart-lett
Bar-to-lo-mej
Ba-sil
Ba-si-li-us
Bau-tis-ta
Ba-zy-li
Bi-shop
Bron-te
Broos
Cal-lis-ter
Cal-lis-the-nes
Cas-tor
Cha-os
Chris
Chri-stof-fel
Chris-to-pher
Chro-nos
Claes
Claus
Cle-o
Cle-tus
Co-la
Col-lin
Col-lis
Col-son
Co-rin-thi-an
Co-si-mo
Cos-mo
Cris-to
Cris-to-bal
Cris-to-vao
Cy-an
Cy-press
Cy-ril
Cy-rus
Da-mi-en
Da-mon
Dand
Dei-on
De-nes
Den-nis
Den-ny
De-on-dre
De-or-sa
Di-ma
Di-mi-tri
Di-nis
Di-on-te
Di-o-ny-sus
Do-ri-an
Dra-co
Dre
Drew
Dry-as
Dwight
Dy-son
E-gor
E-lek
E-ne-as
E-ras-mo
E-ras-mus
Er-cole
Er-mo-lai
E-ros
Es-kan-dar
Es-te-ban
Es-te-fan
Es-te-va-o
Eu-gene
Eu-ge-ni-o
Eu-ge-ni-usz
Eus-tace
Eus-ta-ci-o
E-van-der
Ev-ge-ni
Ev-zen
Fane
Fe-li-pe
Fe-li-pin-ho
Fe-o-fan
Fer-ris
Fi-lib
Fi-lip
Fi-lipe
Fi-lip-pus
Flip
Ga-len
Gav-riil
Gene
Ge-org
Ge-orge
Ger-ge-ly
Ger-go
Ge-ro-ni-mo
Gi-les
Gi-no
Gi-or-gi-o
Go-ran
Grear
Greg
Gre-ger
Gre-gers
Gre-gor
Gre-go-ri-o
Gre-go-ry
Greg-son
Greig
Gri-go-ri
Gri-o-gair
Gri-sha
Grze-gorz
Gy-or-gy
Gyu-ri
Ha-des
Heck
Hec-tor
Hei-tor
Hek-tor
He-li-os
He-ra-cles
Her-cu-les
Her-mes
He-ros
Hip-po-cra-tes
Ho-mer
Hy-pe-ri-on
I-ca-rus
In-di-go
Io-sif
I-sa-dore
I-san-dro
I-sau-rus
Is-kan-der
Is-kin-der
Ist-van
I-za-dor
Ja-cin-to
Ja-son
Jed-rick
Jed-rzej
Je-roen
Je-rome
Je-ro-ni-mo
Jer-zy
Ji-ri
Jo-ran
Jor-dy
Jorg
Jor-ge
Jor-gen
Jor-gin-ho
Jorn
Jo-ry
Ju-rek
Jur-gen
Ju-ris
Jy-ri
Kay-son
Ke-an-dre
Kei-on
Ke-o-ki
Kes-ter
Khro-nos
Ki-ril
Klas
Klaus
Kol-ya
Kro-nos
Kry-stof
Kr-zys
Kr-zy-siek
Kr-zysz-tof
Kuz-ma
Le-an-der
Le-an-dre
Le-an-dro
Le-on
Le-o-ni-das
Lex
Li-nus
Li-o-nel
Luc
Lu-ca
Lu-cas
Lu-cky
Lu-kacs
Lu-kas
Lu-kasz
Luke
Luu-kas
Ly-o-sha
Ly-ric
Ly-san-der
Ly-si-as
Ma-ca-ri-o
Ma-na-ses
Mel
Me-ne-laus
Mik-los
Mi-ko-laj
Mi-ko-las
Mi-ku-la
Mi-ku-las
Mi-nos
Mo-na
Mor-phe-us
My-ron
Nar-ci-so
Nar-cis-sus
Nar-cyz
Nea-cel
Nes-tor
Nes-to-ri
Nic-co-lo
Ni-cho-las
Ni-chol-son
Nick
Nic-ky
Ni-co
Ni-co-de-mus
Ni-co-lai
Ni-co-lau
Niels
Nii-lo
Ni-ki-ta
Nik-las
Ni-ko-dem
Ni-ko-la
Ni-ko-lai
Ni-ko-laj
Nils
O-cean
O-cea-nus
O-des-sa
O-dys-se-us
O-lek
On-drej
O-ri-on
Or-phe-us
O-tis
O-wen
Pan
Pa-ris
Pa-si
Pea-dar
Pear-son
Pe-der
Pe-dro
Peer
Pek-ka
Pel-le
Per
Pe-ri-cles
Per-kins
Per-se-us
Pe-ter
Petr
Pe-tri
Pet-te-ri
Pet-ya
Phelps
Phil
Phi-lip
Phi-lo
Phi-lo-me-nos
Phoe-nix
Pierce
Pi-er-re
Pi-ka
Pi-o-tr
Pis-ta
Plu-to
Po-sei-don
Pri-am
Pro-me-the-us
Pto-le-my
Pyo-tr
Pyr-rhus
Ras-mus
Ras-tus
Re-hor
Re-ko
Ries
Ris-to
San-der
San-ders
San-dor
San-dro
San-dy
San-yi
Saun-der
Saun-ders
Saun-der-son
Saw-ney
Se-o-ras
Shu-ra
So-cra-tes
Sta-cy
Staf-fan
Stea-fan
Ste-fan
Stef-fen
Ste-pan
Ste-phen
Ste-vie
Sy-me-on
Sz-cze-pan
Ta-deas
Ta-de-o
Tah-vo
Ta-pa-ni
Ta-ras
Ted
Ted-dy
Ten-ney
Ten-ny-son
Te-o-dor
Te-o-do-ro
Tep-po
Teu-vo
Thad
Thad-de-us
Tha-na-ses
The-o
The-o-dore
The-o-pha-nes
The-ron
The-se-us
Ti-ger
Tim
Ti-mon
Ti-mo-te-o
Ti-mo-thy
Ti-va-dar
Try-phon
Ty-chon
Ty-ge
Ty-mo-teusz
U-lys-ses
U-ra-nus
Van-ge-lis
Va-sil
Va-si-li
Vilp-pu
Xan-der
Xe-non
Xe-no-pha-nes
Xe-no-phon
Ye-gor
Yer-mo-lai
Yev-ge-ni
York
Ze-no
Ze-non
Ze-phyr
Zeus
