Acantha
Adrastea
Adrasteia
Aegle
Aella
Agaue
Aglaea
Aglaia
Aigle
Akantha
Alcippe
Alcmene
Alcyone
Alecto
Alekto
Alexandra
Alkippe
Alkmene
Alkyone
Althea
Amalthea
Andromache
Andromeda
Anthea
Antheia
Antigone
Antiope
Aoede
Aoide
Aphrodite
Arachne
Arethousa
Arethusa
Ariadne
Artemis
Astraea
Astraia
Atalanta
Athena
Athene
Atropos
Briseis
Calliope
Callisto 
Calypso
Carme 
Cassandra
Cassiopea
Cassiopeia
Chloe
Chloris
Chryseis
Circe
Clio
Clotho
Clytemnestra
Clytia
Cora
Cynthia
Danaë
Daphne
Delia 
Demeter 
Despoina
Dike
Dione 
Doris
Echo
Eileithyia
Eirene
Electra
Elektra
Elpis
Enyo
Eos
Erato
Eris
Euadne
Euanthe
Eudora
Eunomia
Euphrosyne
Europa
Europe
Eurydice
Eurydike
Euterpe
Evadne
Gaea
Gaia
Halcyone
Halkyone
Harmonia
Hebe
Hecate
Hecuba
Hekabe
Hekate
Helen
Helena
Helene
Helle 
Hemera
Hera
Hermione
Hero 
Hestia
Hippolyta
Hippolyte 
Ianthe
Ilithyia
Io
Iokaste
Iole
Ione
Iphigeneia
Iphigenia
Irene
Iris
Ismene
Jocasta
Kalliope
Kallisto
Kalypso
Karme
Kassandra
Kassiopeia
Kirke
Kleio
Klotho
Klytaimnestra
Klytië
Kore
Korë
Kynthia
Lachesis
Lamia 
Larisa
Larissa
Leda
Leto
Ligeia
Lyssa 
Maia 
Medea
Medeia
Medousa
Medusa
Megaera
Megaira
Melaina
Melete
Melia
Melissa
Melpomene
Mneme
Mnemosyne
Nausicaa
Nausikaa
Nemesis
Nephele
Nike
Nikephoros
Niobe
Nyx
Oenone
Oinone
Ourania
Pallas 
Pandora
Parthenia
Parthenope
Penelope
Persephone
Phaedra
Phaenna
Phaidra
Philomela
Phoebe
Phoibe
Phyllis
Pistis
Polyhymnia
Polymnia
Polyxena
Polyxene
Praxis
Psyche
Rhea
Rheia
Selena
Selene
Semele
Terpsichore
Tethys
Thaleia
Thalia
Theia
Themis
Tisiphone
Tyche
Urania
Xanthe
