Adeodatus
Aegidius
Amabilis
Amadeus
Amandus
Amantius
Amator
Amatus
Amor
Angelus
Baptista
Beatus
Benedictus
Benignus
Bonifatius
Bonitus
Caelestinus
Caelestis
Caesarius
Caietanus
Calixtus
Callistus
Callixtus
Calogerus
Candidus
Christianus
Christophorus
Clarus
Clemens
Clementius
Climacus
Columba
Columbanus
Constans
Constantinus
Constantius
Corbinianus
Crescens
Crescentius
Cyriacus
Delphinus
Deodatus
Desideratus
Desiderius
Deusdedit
Dominicus
Donatianus
Donatus
Dorotheus
Durans
Eligius
Emerentius
Emygdius
Ephesius
Eustachius
Felicianus
Felicius
Felinus
Ferrutius
Fidelis
Firminus
Florentinus
Florentius
Florinus
Fortunatus
Franciscus
Frigidianus
Fulgentius
Gabinus
Gereon
Gerontius
Honoratus
Honorinus
Honorius
Iacomus
Ieronimus
Ignatius
Innocentius
Iosephus
Isaurus
Isidorus
Iustinianus
Iustinus
Iustus
Jacobus
Joannes
Johannes
Justus
Laurus
Leo
Leocadius
Leonius
Liberius
Liborius
Lupus
Magnus
Mauritius
Maurus
Modestus
Narcissus
Natalius
Nazarenus
Nazarius
Onuphrius
Paschalis
Pastor
Patricius
Peregrinus
Pius
Placidus
Primitivus
Primus
Prosperus
Prudentius
Quirinus
Remigius
Renatus
Romaeus
Romanus
Sabellius
Salvator
Sanctius
Sebastianus
Seraphinus
Servatius
Sidonius
Silvester
Silvius
Sixtus
Urbanus
Ursinus
Ursus
Verissimus
Viator
Victor
Victorinus
Victorius
Vincentius
Virgilius
Vitalis
Vivianus
Zephyrinus
